Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join,T_tokens_VOS,,,,,,
HAMBLETON R.K.,ON THE USE OF CUT?êOFF SCORES WITH CRITERION?êREFERENCED TESTS IN INSTRUCTIONAL SETTINGS,1978,15,"['USE', 'cut-off', 'score', 'criterion; ceferenced', 'instructional', 'setting']","['use', 'cut-off', 'score', 'criterion; ceferenced', 'instructional', 'setting']",use cut-off score criterion; ceferenced instructional setting,use; cut-off; score; criterion; ceferenced; instructional; setting,,,,,,
TERWILLIGER J.S.; LELE K.,"SOME RELATIONSHIPS AMONG INTERNAL CONSISTENCY, REPRODUCIBILITY, AND HOMOGENEITY",1979,16,"['relationship', 'INTERNAL', 'CONSISTENCY', 'REPRODUCIBILITY', 'homogeneity']","['relationship', 'internal', 'consistency', 'reproducibility', 'homogeneity']",relationship internal consistency reproducibility homogeneity,relationship; internal; consistency; reproducibility; homogeneity,,,,,,
BAJTELSMIT J.W.,TEST?êWISENESS AND SYSTEMATIC DESENSITIZATION PROGRAMS FOR INCREASING ADULT TEST?êTAKING SKILLS,1977,14,"['TEST?êWISENESS', 'SYSTEMATIC', 'DESENSITIZATION', 'PROGRAMS', 'increase', 'adult', 'test-taking', 'SKILLS']","['test?êwiseness', 'systematic', 'desensitization', 'programs', 'increase', 'adult', 'test-taking', 'skills']",test?êwiseness systematic desensitization programs increase adult test-taking skills,test?êwiseness; systematic; desensitization; programs; increase; adult; test-taking; skills,,,,,,
RINDLER S.E.,PITFALLS IN ASSESSING TEST SPEEDEDNESS,1979,16,"['pitfall', 'assess', 'TEST', 'SPEEDEDNESS']","['pitfall', 'assess', 'test', 'speededness']",pitfall assess test speededness,pitfall; assess; test; speededness,,,,,,
SUBKOVIAK M.J.; LEVIN J.R.,FALLIBILITY OF MEASUREMENT AND THE POWER OF A STATISTICAL TEST,1977,14,"['FALLIBILITY', 'power', 'statistical']","['fallibility', 'power', 'statistical']",fallibility power statistical,fallibility; power; statistical,,,,,,
ROWLEY G.,THE RELATIONSHIP OF RELIABILITY IN CLASSROOM RESEARCH TO THE AMOUNT OF OBSERVATION: AN EXTENSION OF THE SPEARMAN?êBROWN FORMULA,1978,15,"['RELATIONSHIP', 'RELIABILITY', 'CLASSROOM', 'RESEARCH', 'observation', 'extension', 'SPEARMAN?êBROWN', 'formula']","['relationship', 'reliability', 'classroom', 'research', 'observation', 'extension', 'spearman?-brown', 'formula']",relationship reliability classroom research observation extension spearman?-brown formula,relationship; reliability; classroom; research; observation; extension; spearman?-brown; formula,,,,,,
CARLSON J.S.; DILLON R.,EFFECTS OF TESTING CONDITIONS ON PIAGET MATRICES AND ORDER OF APPEARANCE PROBLEMS: A STUDY OF COMPETENCE VERSUS PERFORMANCE,1979,16,"['effect', 'testing', 'condition', 'piaget', 'matrix', 'ORDER', 'appearance', 'problems', 'study', 'competence', 'versus', 'performance']","['effect', 'testing', 'condition', 'piaget', 'matrix', 'order', 'appearance', 'problems', 'study', 'competence', 'versus', 'performance']",effect testing condition piaget matrix order appearance problems study competence versus performance,effect; testing; condition; piaget; matrix; order; appearance; problems; study; competence; versus; performance,,,,,,
PLAKE B.S.; HOOVER H.D.,THE COMPARABILITY OF EQUAL RAW SCORES OBTAINED FROM IN?êLEVEL AND OUT?êOF?êLEVEL TESTING: ONE SOURCE OF THE DISCREPANCY BETWEEN IN?êLEVEL AND OUT?êOF?êLEVEL GRADE EQUIVALENT SCORES,1979,16,"['COMPARABILITY', 'EQUAL', 'raw', 'scores', 'obtain', 'in-level', 'out-of-level', 'source', 'DISCREPANCY', 'in-level', 'out-of-level', 'GRADE', 'EQUIVALENT', 'scores']","['comparability', 'equal', 'raw', 'scores', 'obtain', 'in-level', 'out-of-level', 'source', 'discrepancy', 'in-level', 'out-of-level', 'grade', 'equivalent', 'scores']",comparability equal raw scores obtain in-level out-of-level source discrepancy in-level out-of-level grade equivalent scores,comparability; equal; raw; scores; obtain; in-level; out-of-level; source; discrepancy; in-level; out-of-level; grade; equivalent; scores,,,,,,
MOSS J.D.; BROWN F.G.,SEX BIAS AND ACADEMIC PERFORMANCE: AN EMPIRICAL STUDY,1979,16,"['SEX', 'BIAS', 'academic', 'PERFORMANCE', 'EMPIRICAL', 'study']","['sex', 'bias', 'academic', 'performance', 'empirical', 'study']",sex bias academic performance empirical study,sex; bias; academic; performance; empirical; study,,,,,,
SUBKOVIAK M.J.; ROECKS A.L.,A CLOSER LOOK AT THE ACCURACY OF ALTERNATIVE DATA?êCOLLECTION METHODS FOR MULTIDIMENSIONAL SCALING,1976,13,"['CLOSER', 'look', 'ACCURACY', 'alternative', 'data-collection', 'METHODS', 'MULTIDIMENSIONAL', 'scaling']","['closer', 'look', 'accuracy', 'alternative', 'data-collection', 'methods', 'multidimensional', 'scaling']",closer look accuracy alternative data-collection methods multidimensional scaling,closer; look; accuracy; alternative; data-collection; methods; multidimensional; scaling,,,,,,
"SINGLETON R., JR.; SMITH E.R.",DOES GRADE INFLATION DECREASE THE RELIABILITY OF GRADES?,1978,15,"['GRADE', 'inflation', 'DECREASE', 'RELIABILITY', 'GRADES']","['grade', 'inflation', 'decrease', 'reliability', 'grades']",grade inflation decrease reliability grades,grade; inflation; decrease; reliability; grades,,,,,,
Sirotnik K.; Wellington R.,INCIDENCE SAMPLING: AN INTEGRATED THEORY FOR ?úMATRIX SAMPLING??1977,14,"['incidence', 'SAMPLING', 'INTEGRATED', 'THEORY', '""', 'matrix', 'sampling', '""']","['incidence', 'sampling', 'integrated', 'theory', '""', 'matrix', 'sampling', '""']","incidence sampling integrated theory "" matrix sampling ""","incidence; sampling; integrated; theory; ""; matrix; sampling; """,,,,,,,
GUSTAFSSON J.?êE.,THE RASCH MODEL IN VERTICAL EQUATING OF TESTS: A CRITIQUE OF SLINDE AND LINN,1979,16,"['RASCH', 'MODEL', 'VERTICAL', 'equating', 'CRITIQUE', 'SLINDE', 'LINN']","['rasch', 'model', 'vertical', 'equating', 'critique', 'slinde', 'linn']",rasch model vertical equating critique slinde linn,rasch; model; vertical; equating; critique; slinde; linn,,,,,,
STAYROOK N.; CORNO L.,AN APPLICATION OF GENERALIZABILITY THEORY IN DISATTENUATING A PATH MODEL OF TEACHING AND LEARNING,1979,16,"['application', 'GENERALIZABILITY', 'THEORY', 'disattenuate', 'PATH', 'teaching', 'learning']","['application', 'generalizability', 'theory', 'disattenuate', 'path', 'teaching', 'learning']",application generalizability theory disattenuate path teaching learning,application; generalizability; theory; disattenuate; path; teaching; learning,,,,,,
SAWYER R.; MAXEY J.,THE VALIDITY OF COLLEGE GRADE PREDICTION EQUATIONS OVER TIME,1979,16,"['VALIDITY', 'COLLEGE', 'GRADE', 'PREDICTION', 'equation', 'TIME']","['validity', 'college', 'grade', 'prediction', 'equation', 'time']",validity college grade prediction equation time,validity; college; grade; prediction; equation; time,,,,,,
KORTH B.,RELATIONSHIP OF EXTRANEOUS VARIABLES TO STUDENT RATINGS OF INSTRUCTORS,1979,16,"['RELATIONSHIP', 'extraneous', 'VARIABLES', 'student', 'RATINGS', 'instructors']","['relationship', 'extraneous', 'variables', 'student', 'ratings', 'instructors']",relationship extraneous variables student ratings instructors,relationship; extraneous; variables; student; ratings; instructors,,,,,,
HUMPHREYS L.G.; PARSONS C.K.; PARK R.K.,DIMENSIONS INVOLVED IN DIFFERENCES AMONG SCHOOL MEANS OF COGNITIVE MEASURES,1979,16,"['dimension', 'involve', 'difference', 'school', 'mean', 'cognitive', 'MEASURES']","['dimension', 'involve', 'difference', 'school', 'mean', 'cognitive', 'measures']",dimension involve difference school mean cognitive measures,dimension; involve; difference; school; mean; cognitive; measures,,,,,,
BEUCHERT A.K.; MENDOZA J.L.,A MONTE CARLO COMPARISON OF TEN ITEM DISCRIMINATION INDICES,1979,16,"['MONTE', 'CARLO', 'comparison', 'ITEM', 'discrimination', 'index']","['monte', 'carlo', 'comparison', 'item', 'discrimination', 'index']",monte carlo comparison item discrimination index,monte; carlo; comparison; item; discrimination; index,,,,,,
LONG J.V.; SCHAFFRAN J.A.; KELLOGG T.M.,"EFFECTS OF OUT?êOF?êLEVEL SURVEY TESTING ON READING ACHIEVEMENT SCORES OF TITLE I, ESEA STUDENTS",1977,14,"['effect', 'out-of-level', 'survey', 'reading', 'achievement', 'SCORES', 'TITLE', 'I', 'ESEA', 'student']","['effect', 'out-of-level', 'survey', 'reading', 'achievement', 'scores', 'title', 'i', 'esea', 'student']",effect out-of-level survey reading achievement scores title i esea student,effect; out-of-level; survey; reading; achievement; scores; title; i; esea; student,,,,,,
WILCOX R.R.; HARRIS C.W.,ON EMRICK'S ?úAN EVALUATION MODEL FOR MASTERY TESTING??1977,14,"['EMRICKS', '""', 'evaluation', 'MASTERY', 'testing', '""']","['emricks', '""', 'evaluation', 'mastery', 'testing', '""']","emricks "" evaluation mastery testing ""","emricks; ""; evaluation; mastery; testing; """,,,,,,,
DAVID J.L.; PELAVIN S.H.,EVALUATING COMPENSATORY EDUCATION: OVER WHAT PERIOD OF TIME SHOULD ACHIEVEMENT BE MEASURED?,1978,15,"['evaluate', 'compensatory', 'period', 'TIME', 'achievement', 'measure']","['evaluate', 'compensatory', 'period', 'time', 'achievement', 'measure']",evaluate compensatory period time achievement measure,evaluate; compensatory; period; time; achievement; measure,,,,,,
GARVIN A.D.,"A SIMPLE, ACCURATE APPROXIMATION OF THE STANDARD ERROR OF MEASUREMENT",1976,13,"['simple', 'ACCURATE', 'approximation', 'STANDARD', 'error']","['simple', 'accurate', 'approximation', 'standard', 'error']",simple accurate approximation standard error,simple; accurate; approximation; standard; error,,,,,,
SMITH P.L.,THE GENERALIZABILITY OF STUDENT RATINGS OF COURSES: ASKING THE RIGHT QUESTIONS,1979,16,"['GENERALIZABILITY', 'student', 'RATINGS', 'course', 'ask', 'right', 'question']","['generalizability', 'student', 'ratings', 'course', 'ask', 'right', 'question']",generalizability student ratings course ask right question,generalizability; student; ratings; course; ask; right; question,,,,,,
HUCK S.W.,TEST PERFORMANCE UNDER THE CONDITION OF KNOWN ITEM DIFFICULTY,1978,15,"['performance', 'condition', 'know', 'ITEM', 'difficulty']","['performance', 'condition', 'know', 'item', 'difficulty']",performance condition know item difficulty,performance; condition; know; item; difficulty,,,,,,
BRENNAN R.L.; KANE M.T.,AN INDEX OF DEPENDABILITY FOR MASTERY TESTS,1977,14,"['INDEX', 'DEPENDABILITY', 'MASTERY']","['index', 'dependability', 'mastery']",index dependability mastery,index; dependability; mastery,,,,,,
DE AVILA E.; PULOS S.,GROUP ASSESSMENT OF COGNITIVE LEVEL BY PICTORIAL PIAGETIAN TASKS,1979,16,"['GROUP', 'assessment', 'cognitive', 'level', 'PICTORIAL', 'PIAGETIAN', 'TASKS']","['group', 'assessment', 'cognitive', 'level', 'pictorial', 'piagetian', 'tasks']",group assessment cognitive level pictorial piagetian tasks,group; assessment; cognitive; level; pictorial; piagetian; tasks,,,,,,
WRIGHT B.D.,SOLVING MEASUREMENT PROBLEMS WITH THE RASCH MODEL,1977,14,"['solve', 'problems', 'RASCH', 'MODEL']","['solve', 'problems', 'rasch', 'model']",solve problems rasch model,solve; problems; rasch; model,,,,,,
MARCO G.L.,USE OF THE LOGISTIC MODEL AS AN ALTERNATIVE TO LINEAR INTERPOLATION FOR COMPUTING PERCENTILE RANKS,1977,14,"['LOGISTIC', 'alternative', 'linear', 'interpolation', 'COMPUTING', 'PERCENTILE', 'rank']","['logistic', 'alternative', 'linear', 'interpolation', 'computing', 'percentile', 'rank']",logistic alternative linear interpolation computing percentile rank,logistic; alternative; linear; interpolation; computing; percentile; rank,,,,,,
YOSHIDA R.K.,OUT?êOF?êLEVEL TESTING OF SPECIAL EDUCATION STUDENTS WITH A STANDARDIZED ACHIEVEMENT BATTERY,1976,13,"['out-of-level', 'special', 'student', 'standardized', 'achievement', 'BATTERY']","['out-of-level', 'special', 'student', 'standardized', 'achievement', 'battery']",out-of-level special student standardized achievement battery,out-of-level; special; student; standardized; achievement; battery,,,,,,
LINN R.L.,"DEMANDS, CAUTIONS, AND SUGGESTIONS FOR SETTING STANDARDS",1978,15,"['demand', 'caution', 'suggestion', 'set', 'STANDARDS']","['demand', 'caution', 'suggestion', 'set', 'standards']",demand caution suggestion set standards,demand; caution; suggestion; set; standards,,,,,,
HALADYNA T.M.,EFFECTS OF DIFFERENT SAMPLES ON ITEM AND TEST CHARACTERISTICS OF CRITERION?êREFERENCED TESTS,1974,11,"['effect', 'different', 'samples', 'ITEM', 'TEST', 'CHARACTERISTICS', 'criterion; ceferenced']","['effect', 'different', 'samples', 'item', 'test', 'characteristics', 'criterion; ceferenced']",effect different samples item test characteristics criterion; ceferenced,effect; different; samples; item; test; characteristics; criterion; ceferenced,,,,,,
ROEDER H.H.,TEACHER EDUCATION CURRICULA?ìYOUR FINAL GRADE IS F,1973,10,"['teacher', 'curricula', '??, 'final', 'GRADE', 'f']","['teacher', 'curricula', '??, 'final', 'grade', 'f']",teacher curricula ??final grade f,teacher; curricula; ?? final; grade; f,,,,,,
KAGERER R.L.,TOWARD AN AFFECTIVE OUTCOME OF HIGHER EDUCATION,1974,11,"['affective', 'outcome', 'high']","['affective', 'outcome', 'high']",affective outcome high,affective; outcome; high,,,,,,
SUBKOVIAK M.J.,ESTIMATING RELIABILITY FROM A SINGLE ADMINISTRATION OF A CRITERION?êREFERENCED TEST,1976,13,"['estimate', 'RELIABILITY', 'single', 'administration', 'criterion; ceferenced']","['estimate', 'reliability', 'single', 'administration', 'criterion; ceferenced']",estimate reliability single administration criterion; ceferenced,estimate; reliability; single; administration; criterion; ceferenced,,,,,,
SUBKOVIAK M.J.; LEVIN J.R.,DETERMINING THE CHARACTERISTICS OF THE IDEAL PROFESSOR: AN ALTERNATIVE APPROACH,1974,11,"['determine', 'CHARACTERISTICS', 'IDEAL', 'PROFESSOR', 'alternative', 'approach']","['determine', 'characteristics', 'ideal', 'professor', 'alternative', 'approach']",determine characteristics ideal professor alternative approach,determine; characteristics; ideal; professor; alternative; approach,,,,,,
POHLMANN J.T.; BEGGS D.L.,A STUDY OF THE VALIDITY OF SELF?êREPORTED MEASURES OF ACADEMIC GROWTH,1974,11,"['study', 'VALIDITY', 'SELF?êREPORTED', 'MEASURES', 'academic', 'growth']","['study', 'validity', 'self; ceported', 'measures', 'academic', 'growth']",study validity self; ceported measures academic growth,study; validity; self; ceported; measures; academic; growth,,,,,,
"GREENWOOD G.E.; BRIDGES C.M., JR; WARE W.B.; MCLEAN J.E.",STUDENT EVALUATION OF COLLEGE TEACHING BEHAVIORS,1974,11,"['STUDENT', 'evaluation', 'COLLEGE', 'teach', 'BEHAVIORS']","['student', 'evaluation', 'college', 'teach', 'behaviors']",student evaluation college teach behaviors,student; evaluation; college; teach; behaviors,,,,,,
SIMON A.J.; JOINER L.M.,A MEXICAN VERSION OF THE PEABODY PICTURE VOCABULARY TEST,1976,13,"['MEXICAN', 'version', 'PEABODY', 'PICTURE', 'VOCABULARY']","['mexican', 'version', 'peabody', 'picture', 'vocabulary']",mexican version peabody picture vocabulary,mexican; version; peabody; picture; vocabulary,,,,,,
SWAMINATHAN H.; HAMBLETON R.K.; ALGINA J.,A BAYESIAN DECISION?êTHEORETIC PROCEDURE FOR USE WITH CRITERION?êREFERENCED TESTS,1975,12,"['BAYESIAN', 'decision-theoretic', 'PROCEDURE', 'criterion; ceferenced']","['bayesian', 'decision-theoretic', 'procedure', 'criterion; ceferenced']",bayesian decision-theoretic procedure criterion; ceferenced,bayesian; decision-theoretic; procedure; criterion; ceferenced,,,,,,
LaVOIE A.L.; BENTLER P.M.,A SHORT?êFORM MEASURE OF THE EXPANDED SEVEN?êDIMENSIONAL SEMANTIC SPACE,1974,11,"['short-form', 'measure', 'EXPANDED', 'SEVEN?êDIMENSIONAL', 'SEMANTIC', 'SPACE']","['short-form', 'measure', 'expanded', 'seven-dimensional', 'semantic', 'space']",short-form measure expanded seven-dimensional semantic space,short-form; measure; expanded; seven-dimensional; semantic; space,,,,,,
ANDERSON T.H.,CLOZE MEASURES AS INDICES OF ACHIEVEMENT COMPREHENSION WHEN LEARNING FROM EXTENDED PROSE,1974,11,"['CLOZE', 'MEASURES', 'index', 'achievement', 'comprehension', 'LEARNING', 'EXTENDED', 'PROSE']","['cloze', 'measures', 'index', 'achievement', 'comprehension', 'learning', 'extended', 'prose']",cloze measures index achievement comprehension learning extended prose,cloze; measures; index; achievement; comprehension; learning; extended; prose,,,,,,
JACOBS S.S.,"BEHAVIOR ON OBJECTIVE TESTS UNDER THEORETICALLY ADEQUATE, INADEQUATE AND UNSPECIFIED SCORING RULES",1975,12,"['behavior', 'objective', 'THEORETICALLY', 'ADEQUATE', 'inadequate', 'UNSPECIFIED', 'SCORING', 'rule']","['behavior', 'objective', 'theoretically', 'adequate', 'inadequate', 'unspecified', 'scoring', 'rule']",behavior objective theoretically adequate inadequate unspecified scoring rule,behavior; objective; theoretically; adequate; inadequate; unspecified; scoring; rule,,,,,,
O'SULLIVAN M.; GUILFORD J.P.,SIX FACTORS OF BEHAVIORAL COGNITION: UNDERSTANDING OTHER PEOPLE,1975,12,"['factor', 'behavioral', 'cognition', 'understand', 'PEOPLE']","['factor', 'behavioral', 'cognition', 'understand', 'people']",factor behavioral cognition understand people,factor; behavioral; cognition; understand; people,,,,,,
KANSUP W.; HAKSTIAN A.R.,A COMPARISON OF SEVERAL METHODS OF ASSESSING PARTIAL KNOWLEDGE IN MULTIPLE?êCHOICE TESTS: I. SCORING PROCEDURES,1975,12,"['comparison', 'methods', 'assess', 'partial', 'KNOWLEDGE', 'multiple choice', 'I', 'scoring', 'PROCEDURES']","['comparison', 'methods', 'assess', 'partial', 'knowledge', 'multiple choice', 'i', 'scoring', 'procedures']",comparison methods assess partial knowledge multiple choice i scoring procedures,comparison; methods; assess; partial; knowledge; multiple choice; i; scoring; procedures,,,,,,
ALEAMONI L.M.; GRAHAM M.H.,"THE RELATIONSHIP BETWEEN CEQ RATINGS AND INSTRUCTOR'S RANK, CLASS SIZE, AND COURSE LEVEL",1974,11,"['RELATIONSHIP', 'CEQ', 'RATINGS', 'instructors', 'rank', 'class', 'SIZE', 'course', 'level']","['relationship', 'ceq', 'ratings', 'instructors', 'rank', 'class', 'size', 'course', 'level']",relationship ceq ratings instructors rank class size course level,relationship; ceq; ratings; instructors; rank; class; size; course; level,,,,,,
CARDINET J.; TOURNEUR W.; ALLAL L.,THE SYMMETRY OF GENERALIZABILITY THEORY: APPLICATIONS TO EDUCATIONAL MEASUREMENT,1976,13,"['SYMMETRY', 'GENERALIZABILITY', 'THEORY', 'application', 'EDUCATIONAL']","['symmetry', 'generalizability', 'theory', 'application', 'educational']",symmetry generalizability theory application educational,symmetry; generalizability; theory; application; educational,,,,,,
HARRIS C.W.,NOTE ON THE VARIANCES AND COVARIANCES OF THREE ERROR TYPES,1973,10,"['note', 'variance', 'COVARIANCES', 'THREE', 'ERROR', 'TYPES']","['note', 'variance', 'covariances', 'three', 'error', 'types']",note variance covariances three error types,note; variance; covariances; three; error; types,,,,,,
WILLIAMS T.H.,THE WECHSLER SCALES: PARENTS AND (MALE) CHILDREN,1975,12,"['wechsler', 'scale', 'parent', 'MALE', 'CHILDREN']","['wechsler', 'scale', 'parent', 'male', 'children']",wechsler scale parent male children,wechsler; scale; parent; male; children,,,,,,
DARLINGTON R.B.,"A DEFENSE OF ?úRATIONAL??PERSONNEL SELECTION, AND TWO NEW METHODS",1976,13,"['defense', '""', 'RATIONAL', '""', 'PERSONNEL', 'selection', 'new', 'METHODS']","['defense', '""', 'rational', '""', 'personnel', 'selection', 'new', 'methods']","defense "" rational "" personnel selection new methods","defense; ""; rational; ""; personnel; selection; new; methods",,,,,,
JENSEN A.R.,THE EFFECT OF RACE OF EXAMINER ON THE MENTAL TEST SCORES OF WHITE AND BLACK PUPILS,1974,11,"['effect', 'RACE', 'EXAMINER', 'MENTAL', 'SCORES', 'WHITE', 'BLACK', 'PUPILS']","['effect', 'race', 'examiner', 'mental', 'scores', 'white', 'black', 'pupils']",effect race examiner mental scores white black pupils,effect; race; examiner; mental; scores; white; black; pupils,,,,,,
HOEPFNER R.; DOHERTY W.J.,PRIORITIES OF TEST PUBLISHERS,1973,10,"['priority', 'publisher']","['priority', 'publisher']",priority publisher,priority; publisher,,,,,,
HANNA G.S.,INCREMENTAL RELIABILITY AND VALIDITY OF MULTIPLE?êCHOICE TESTS WITH AN ANSWER?êUNTIL?êCORRECT PROCEDURE,1975,12,"['incremental', 'RELIABILITY', 'VALIDITY', 'multiple choice', 'answer?êuntil-correct', 'procedure']","['incremental', 'reliability', 'validity', 'multiple choice', 'answer?êuntil-correct', 'procedure']",incremental reliability validity multiple choice answer?êuntil-correct procedure,incremental; reliability; validity; multiple choice; answer?êuntil-correct; procedure,,,,,,
GOLDMAN R.D.; RICHARDS R.,"THE SAT PREDICTION OF GRADES FOR MEXICAN?êAMERICAN VERSUS ANGLO?êAMERICAN STUDENTS AT THE UNIVERSITY OF CALIFORNIA, RIVERSIDE",1974,11,"['SAT', 'prediction', 'GRADES', 'MEXICAN?êAMERICAN', 'versus', 'anglo-american', 'student', 'UNIVERSITY', 'CALIFORNIA', 'RIVERSIDE']","['sat', 'prediction', 'grades', 'mexican-american', 'versus', 'anglo-american', 'student', 'university', 'california', 'riverside']",sat prediction grades mexican-american versus anglo-american student university california riverside,sat; prediction; grades; mexican-american; versus; anglo-american; student; university; california; riverside,,,,,,
MARCO G.L.,A COMPARISON OF SELECTED SCHOOL EFFECTIVENESS MEASURES BASED ON LONGITUDINAL DATA,1974,11,"['comparison', 'selected', 'SCHOOL', 'EFFECTIVENESS', 'MEASURES', 'based', 'ON', 'LONGITUDINAL', 'datum']","['comparison', 'selected', 'school', 'effectiveness', 'measures', 'based', 'on', 'longitudinal', 'datum']",comparison selected school effectiveness measures based on longitudinal datum,comparison; selected; school; effectiveness; measures; based; on; longitudinal; datum,,,,,,
WASHINGTON W.N.; GODFREY R.R.,THE EFFECTIVENESS OF ILLUSTRATED ITEMS,1974,11,"['EFFECTIVENESS', 'illustrated', 'ITEMS']","['effectiveness', 'illustrated', 'items']",effectiveness illustrated items,effectiveness; illustrated; items,,,,,,
BAUSELL R.B.; SCHWARTZ S.; PUROHIT A.,AN EXAMINATION OF THE CONDITIONS UNDER WHICH VARIOUS STUDENT RATING PARAMETERS REPLICATE ACROSS TIME,1975,12,"['examination', 'condition', 'student', 'rating', 'PARAMETERS', 'REPLICATE', 'TIME']","['examination', 'condition', 'student', 'rating', 'parameters', 'replicate', 'time']",examination condition student rating parameters replicate time,examination; condition; student; rating; parameters; replicate; time,,,,,,
DIAMOND J.J.,A PRELIMINARY STUDY OF THE RELIABILITY AND VALIDITY OF A SCORING PROCEDURE BASED UPON CONFIDENCE AND PARTIAL INFORMATION,1975,12,"['preliminary', 'study', 'RELIABILITY', 'VALIDITY', 'SCORING', 'PROCEDURE', 'based', 'UPON', 'CONFIDENCE', 'PARTIAL', 'information']","['preliminary', 'study', 'reliability', 'validity', 'scoring', 'procedure', 'based', 'upon', 'confidence', 'partial', 'information']",preliminary study reliability validity scoring procedure based upon confidence partial information,preliminary; study; reliability; validity; scoring; procedure; based; upon; confidence; partial; information,,,,,,
RAMOS R.A.; STERN J.,ITEM BEHAVIOR ASSOCIATED WITH CHANGES IN THE NUMBER OF ALTERNATIVES IN MULTIPLE CHOICE ITEMS,1973,10,"['ITEM', 'behavior', 'associate', 'change', 'number', 'alternatives', 'multiple', 'choice', 'items']","['item', 'behavior', 'associate', 'change', 'number', 'alternatives', 'multiple', 'choice', 'items']",item behavior associate change number alternatives multiple choice items,item; behavior; associate; change; number; alternatives; multiple; choice; items,,,,,,
MUELLER D.J.; SHWEDEL A.,SOME CORRELATES OF NET GAIN RESULTANT FROM ANSWER CHANGING ON OBJECTIVE ACHIEVEMENT TEST ITEMS,1975,12,"['correlate', 'NET', 'GAIN', 'RESULTANT', 'answer', 'change', 'ON', 'objective', 'achievement', 'ITEMS']","['correlate', 'net', 'gain', 'resultant', 'answer', 'change', 'on', 'objective', 'achievement', 'items']",correlate net gain resultant answer change on objective achievement items,correlate; net; gain; resultant; answer; change; on; objective; achievement; items,,,,,,
BECK M.D.,ACHIEVEMENT TEST RELIABILITY AS A FUNCTION OF PUPIL?êRESPONSE PROCEDURES,1974,11,"['achievement', 'RELIABILITY', 'function', 'PUPIL?êRESPONSE', 'procedures']","['achievement', 'reliability', 'function', 'pupil; cesponse', 'procedures']",achievement reliability function pupil; cesponse procedures,achievement; reliability; function; pupil; cesponse; procedures,,,,,,
TRENTHAM L.L.,THE EFFECT OF DISTRACTIONS ON SIXTH?êGRADE STUDENTS IN A TESTING SITUATION,1975,12,"['effect', 'DISTRACTIONS', 'sixth-grade', 'student', 'testing', 'situation']","['effect', 'distractions', 'sixth-grade', 'student', 'testing', 'situation']",effect distractions sixth-grade student testing situation,effect; distractions; sixth-grade; student; testing; situation,,,,,,
WOODSON M.I.CHAS.E.,THE ISSUE OF ITEM AND TEST VARIANCE FOR CRITERION?êREFERENCED TESTS,1974,11,"['issue', 'ITEM', 'VARIANCE', 'CRITERION?êREFERENCED']","['issue', 'item', 'variance', 'criterion; ceferenced']",issue item variance criterion; ceferenced,issue; item; variance; criterion; ceferenced,,,,,,
BHUSHAN V.,ADAPTATION OF AN INTELLIGENCE TEST FROM ENGLISH TO FRENCH,1974,11,"['adaptation', 'intelligence', 'ENGLISH', 'FRENCH']","['adaptation', 'intelligence', 'english', 'french']",adaptation intelligence english french,adaptation; intelligence; english; french,,,,,,
SWAMINATHAN H.; HAMBLETON R.K.; ALGINA J.,RELIABILITY OF CRITERION?êREFERENCED TESTS: A DECISION?êTHEORETIC FORMULATION,1974,11,"['RELIABILITY', 'criterion; ceferenced', 'decision-theoretic', 'formulation']","['reliability', 'criterion; ceferenced', 'decision-theoretic', 'formulation']",reliability criterion; ceferenced decision-theoretic formulation,reliability; criterion; ceferenced; decision-theoretic; formulation,,,,,,
GRIER J.B.,THE NUMBER OF ALTERNATIVES FOR OPTIMUM TEST RELIABILITY,1975,12,"['NUMBER', 'alternatives', 'optimum', 'RELIABILITY']","['number', 'alternatives', 'optimum', 'reliability']",number alternatives optimum reliability,number; alternatives; optimum; reliability,,,,,,
REILLY R.R.; JACKSON R.,EFFECTS OF EMPIRICAL OPTION WEIGHTING ON RELIABILITY AND VALIDITY OF AN ACADEMIC APTITUDE TEST,1973,10,"['effect', 'EMPIRICAL', 'option', 'weighting', 'ON', 'RELIABILITY', 'VALIDITY', 'ACADEMIC', 'APTITUDE']","['effect', 'empirical', 'option', 'weighting', 'on', 'reliability', 'validity', 'academic', 'aptitude']",effect empirical option weighting on reliability validity academic aptitude,effect; empirical; option; weighting; on; reliability; validity; academic; aptitude,,,,,,
GOLDMAN R.D.; HEWITT B.N.,AN INVESTIGATION OF TEST BIAS FOR MEXICAN?êAMERICAN COLLEGE STUDENTS,1975,12,"['investigation', 'BIAS', 'MEXICAN?êAMERICAN', 'COLLEGE', 'student']","['investigation', 'bias', 'mexican-american', 'college', 'student']",investigation bias mexican-american college student,investigation; bias; mexican-american; college; student,,,,,,
LEVIN J.R.,DETERMINING SAMPLE SIZE FOR PLANNED AND POST HOC ANALYSIS OF VARIANCE COMPARISONS,1975,12,"['determine', 'SAMPLE', 'SIZE', 'PLANNED', 'POST', 'HOC', 'analysis', 'variance', 'comparison']","['determine', 'sample', 'size', 'planned', 'post', 'hoc', 'analysis', 'variance', 'comparison']",determine sample size planned post hoc analysis variance comparison,determine; sample; size; planned; post; hoc; analysis; variance; comparison,,,,,,
