Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join,T_tokens_VOS
Gupta R.K.,CERTAIN TECHNIQUES OF MULTIVARIATE ANALYSIS APPLIED TO DIFFERENT MEASURES OF INTER?êITEM RELATIONSHIPS FOR DEVELOPING UNIFACTOR TESTS,1968,5,"['CERTAIN', 'techniques', 'multivariate', 'analysis', 'APPLIED', 'different', 'measures', 'inter-item', 'RELATIONSHIPS', 'develop', 'UNIFACTOR']","['certain', 'techniques', 'multivariate', 'analysis', 'applied', 'different', 'measures', 'inter-item', 'relationships', 'develop', 'unifactor']",certain techniques multivariate analysis applied different measures inter-item relationships develop unifactor,certain; techniques; multivariate; analysis; applied; different; measures; inter-item; relationships; develop; unifactor
Braun J.R.; Faro D.L.,EFFECTIVENESS OF THE CALIFORNIA STUDY METHODS SURVEY VERIFICATION KEY IN DETECTING FAKING,1968,5,"['EFFECTIVENESS', 'CALIFORNIA', 'study', 'METHODS', 'SURVEY', 'verification', 'key', 'detect', 'fake']","['effectiveness', 'california', 'study', 'methods', 'survey', 'verification', 'key', 'detect', 'fake']",effectiveness california study methods survey verification key detect fake,effectiveness; california; study; methods; survey; verification; key; detect; fake
Ebel R.L.,BLIND GUESSING ON OBJECTIVE ACHIEVEMENT TESTS,1968,5,"['BLIND', 'guess', 'objective', 'achievement']","['blind', 'guess', 'objective', 'achievement']",blind guess objective achievement,blind; guess; objective; achievement
Moore J.C.,THE APPLICATION OF TRANSMITTER?êRECEIVER UNITS IN TEST ADMINISTRATION PROGRAMS,1968,5,"['application', 'TRANSMITTER?êRECEIVER', 'unit', 'TEST', 'ADMINISTRATION', 'PROGRAMS']","['application', 'transmitter; ceceiver', 'unit', 'test', 'administration', 'programs']",application transmitter; ceceiver unit test administration programs,application; transmitter; ceceiver; unit; test; administration; programs
EBEL R.L.,THE RELATION OF SCALE FINENESS TO GRADE ACCURACY,1969,6,"['RELATION', 'SCALE', 'FINENESS', 'GRADE', 'ACCURACY']","['relation', 'scale', 'fineness', 'grade', 'accuracy']",relation scale fineness grade accuracy,relation; scale; fineness; grade; accuracy
Lehmann I.J.; Rogers B.G.,"COGNITIVE, AFFECTIVE, AND BIOGRAPHICAL CHARACTERISTICS OF ?úON TIME??AND ?úLATE??COLLEGE GRADUATES",1968,5,"['cognitive', 'affective', 'BIOGRAPHICAL', 'CHARACTERISTICS', '""', 'ON', 'TIME', '""', '""', 'late', '""', 'COLLEGE', 'graduate']","['cognitive', 'affective', 'biographical', 'characteristics', '""', 'on', 'time', '""', '""', 'late', '""', 'college', 'graduate']","cognitive affective biographical characteristics "" on time "" "" late "" college graduate","cognitive; affective; biographical; characteristics; ""; on; time; ""; ""; late; ""; college; graduate"
Ebel R.L.,THE VALUE OF INTERNAL CONSISTENCY IN CLASSROOM EXAMINATIONS,1968,5,"['value', 'INTERNAL', 'CONSISTENCY', 'CLASSROOM', 'EXAMINATIONS']","['value', 'internal', 'consistency', 'classroom', 'examinations']",value internal consistency classroom examinations,value; internal; consistency; classroom; examinations
CASHEN V.M.; RAMSEYER G.C.,THE USE OF SEPARATE ANSWER SHEETS BY PRIMARY AGE CHILDREN,1969,6,"['separate', 'answer', 'sheets', 'BY', 'PRIMARY', 'AGE', 'CHILDREN']","['separate', 'answer', 'sheets', 'by', 'primary', 'age', 'children']",separate answer sheets by primary age children,separate; answer; sheets; by; primary; age; children
Wofford J.C.,THE EFFECTS OF ITEM ANALYSIS METHODS AND CONFIDENCE LEVELS UPON TEST VALIDITY AND CROSS?êVALIDITY,1968,5,"['effect', 'ITEM', 'ANALYSIS', 'METHODS', 'CONFIDENCE', 'LEVELS', 'UPON', 'VALIDITY', 'cross-validity']","['effect', 'item', 'analysis', 'methods', 'confidence', 'levels', 'upon', 'validity', 'cross-validity']",effect item analysis methods confidence levels upon validity cross-validity,effect; item; analysis; methods; confidence; levels; upon; validity; cross-validity
Baggaley A.R.; Campbell J.P.,MULTIPLE?êDISCRIMINANT ANALYSIS OF ACADEMIC CURRICULA BY INTEREST AND APTITUDE VARIABLES,1967,4,"['MULTIPLE?êDISCRIMINANT', 'ANALYSIS', 'academic', 'curricula', 'interest', 'APTITUDE', 'VARIABLES']","['multiple?êdiscriminant', 'analysis', 'academic', 'curricula', 'interest', 'aptitude', 'variables']",multiple?êdiscriminant analysis academic curricula interest aptitude variables,multiple?êdiscriminant; analysis; academic; curricula; interest; aptitude; variables
Horn J.L.,IS IT REASONABLE FOR ASSESSMENTS TO HAVE DIFFERENT PSYCHOMETRIC PROPERTIES THAN PREDICTORS?,1968,5,"['reasonable', 'assessment', 'different', 'psychometric', 'PROPERTIES', 'predictors']","['reasonable', 'assessment', 'different', 'psychometric', 'properties', 'predictors']",reasonable assessment different psychometric properties predictors,reasonable; assessment; different; psychometric; properties; predictors
Lunneborg C.E.,BIOGRAPHIC VARIABLES IN DIFFERENTIAL vs. ABSOLUTE PREDICTION,1968,5,"['BIOGRAPHIC', 'VARIABLES', 'DIFFERENTIAL', 'vs', 'ABSOLUTE', 'prediction']","['biographic', 'variables', 'differential', 'vs', 'absolute', 'prediction']",biographic variables differential vs absolute prediction,biographic; variables; differential; vs; absolute; prediction
RENZULLI J.S.; PAULUS D.H.,A CROSS?êVALIDATION STUDY OF THE ITEM ORDERING OF THE PEABODY PICTURE VOCABULARY TEST,1969,6,"['cross-validation', 'study', 'ITEM', 'ordering', 'PEABODY', 'PICTURE', 'VOCABULARY']","['cross-validation', 'study', 'item', 'ordering', 'peabody', 'picture', 'vocabulary']",cross-validation study item ordering peabody picture vocabulary,cross-validation; study; item; ordering; peabody; picture; vocabulary
Chase C.I.,THE IMPACT OF SOME OBVIOUS VARIABLES ON ESSAY TEST SCORES,1968,5,"['impact', 'obvious', 'VARIABLES', 'ON', 'ESSAY', 'TEST', 'SCORES']","['impact', 'obvious', 'variables', 'on', 'essay', 'test', 'scores']",impact obvious variables on essay test scores,impact; obvious; variables; on; essay; test; scores
Johnson R.E.; Rosenthal E.,INFLUENCE OF GUESSING ON MEASUREMENTS OF IMMEDIATE AND DELAYED RETENTION,1968,5,"['influence', 'guess', 'immediate', 'delayed', 'retention']","['influence', 'guess', 'immediate', 'delayed', 'retention']",influence guess immediate delayed retention,influence; guess; immediate; delayed; retention
CLEARY T.A.; LINN R.L.,A NOTE ON THE RELATIVE SIZES OF THE STANDARD ERRORS OF TWO RELIABILITY ESTIMATES,1969,6,"['note', 'relative', 'sizes', 'standard', 'ERRORS', 'RELIABILITY', 'estimate']","['note', 'relative', 'sizes', 'standard', 'errors', 'reliability', 'estimate']",note relative sizes standard errors reliability estimate,note; relative; sizes; standard; errors; reliability; estimate
Smith R.B.,A DISCUSSION OF AN ATTEMPT AT CONSTRUCTING REPRODUCIBLE ITEM SETS,1968,5,"['discussion', 'attempt', 'CONSTRUCTING', 'REPRODUCIBLE', 'ITEM', 'sets']","['discussion', 'attempt', 'constructing', 'reproducible', 'item', 'sets']",discussion attempt constructing reproducible item sets,discussion; attempt; constructing; reproducible; item; sets
Ohnmacht F.W.,CORRELATES OF CHANGE IN ACADEMIC ACHIEVEMENT,1968,5,"['correlate', 'change', 'ACADEMIC', 'ACHIEVEMENT']","['correlate', 'change', 'academic', 'achievement']",correlate change academic achievement,correlate; change; academic; achievement
Heath R.W.; Janssen D.R.; Fortna R.O.; Bianchini J.C.; Young M.R.,THE USE OF ACHIEVEMENT AND ABILITY TEST AVERAGES,1967,4,"['achievement', 'ABILITY', 'AVERAGES']","['achievement', 'ability', 'averages']",achievement ability averages,achievement; ability; averages
POPHAM W.J.; HUSEK T.R.,IMPLICATIONS OF CRITERION?êREFERENCED MEASUREMENT,1969,6,"['implication', 'criterion; ceferenced']","['implication', 'criterion; ceferenced']",implication criterion; ceferenced,implication; criterion; ceferenced
Rothman A.I.,THE FACTOR ANALYSIS OF A SCIENCE?êRELATED SEMANTIC DIFFERENTIAL INSTRUMENT,1968,5,"['factor', 'analysis', 'science; celated', 'SEMANTIC', 'DIFFERENTIAL', 'INSTRUMENT']","['factor', 'analysis', 'science; celated', 'semantic', 'differential', 'instrument']",factor analysis science; celated semantic differential instrument,factor; analysis; science; celated; semantic; differential; instrument
Veldman D.J.,"EFFECTS OF SEX, APTITUDES, AND ATTITUDES ON THE ACADEMIC ACHIEVEMENT OF COLLEGE FRESHMEN",1968,5,"['effect', 'sex', 'APTITUDES', 'ATTITUDES', 'ACADEMIC', 'achievement', 'COLLEGE', 'FRESHMEN']","['effect', 'sex', 'aptitudes', 'attitudes', 'academic', 'achievement', 'college', 'freshmen']",effect sex aptitudes attitudes academic achievement college freshmen,effect; sex; aptitudes; attitudes; academic; achievement; college; freshmen
SMITH T.A.; SHAW C.N.,STRUCTURAL ANALYSIS AS AN AID IN DESIGNING AN INSTRUCTIONAL SYSTEM,1969,6,"['STRUCTURAL', 'ANALYSIS', 'aid', 'DESIGNING', 'instructional', 'system']","['structural', 'analysis', 'aid', 'designing', 'instructional', 'system']",structural analysis aid designing instructional system,structural; analysis; aid; designing; instructional; system
THOMAS C.L.; STANLEY J.C.,EFFECTIVENESS OF HIGH SCHOOL GRADES FOR PREDICTING COLLEGE GRADES OF BLACK STUDENTS: A REVIEW AND DISCUSSION,1969,6,"['EFFECTIVENESS', 'high', 'SCHOOL', 'GRADES', 'predict', 'COLLEGE', 'GRADES', 'BLACK', 'student', 'A', 'REVIEW', 'discussion']","['effectiveness', 'high', 'school', 'grades', 'predict', 'college', 'grades', 'black', 'student', 'a', 'review', 'discussion']",effectiveness high school grades predict college grades black student a review discussion,effectiveness; high; school; grades; predict; college; grades; black; student; a; review; discussion
Lunneborg C.E.,USE OF FACTOR SCORES IN DIFFERENTIAL PREDICTION OF ACADEMIC SUCCESS,1968,5,"['factor', 'SCORES', 'DIFFERENTIAL', 'PREDICTION', 'academic', 'success']","['factor', 'scores', 'differential', 'prediction', 'academic', 'success']",factor scores differential prediction academic success,factor; scores; differential; prediction; academic; success
SIMON G.B.,COMMENTS ON ?úIMPLICATIONS OF CRITERION?êREFERENCED MEASUREMENT??1969,6,"['comment', '""', 'implication', 'CRITERION?êREFERENCED', '""']","['comment', '""', 'implication', 'criterion; ceferenced', '""']","comment "" implication criterion; ceferenced ""","comment; ""; implication; criterion; ceferenced; """,
McGuire C.H.; Babbott D.,SIMULATION TECHNIQUE IN THE MEASUREMENT OF PROBLEM?êSOLVING SKILLS,1967,4,"['simulation', 'TECHNIQUE', 'problem-solving', 'SKILLS']","['simulation', 'technique', 'problem-solving', 'skills']",simulation technique problem-solving skills,simulation; technique; problem-solving; skills
Stanley J.C.,RICE AS A PIONEER EDUCATIONAL RESEARCHER,1966,3,"['RICE', 'pioneer', 'EDUCATIONAL', 'researcher']","['rice', 'pioneer', 'educational', 'researcher']",rice pioneer educational researcher,rice; pioneer; educational; researcher
Baker F.B.,THE DATA BANK CONCEPT: A DISSIDENT POINT OF VIEW,1965,2,"['DATA', 'BANK', 'CONCEPT', 'A', 'DISSIDENT', 'point', 'view']","['data', 'bank', 'concept', 'a', 'dissident', 'point', 'view']",data bank concept a dissident point view,data; bank; concept; a; dissident; point; view
Ebel R.L.,SOME MEASUREMENT PROBLEMS IN A NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS,1966,3,"['problems', 'NATIONAL', 'assessment', 'educational', 'progress']","['problems', 'national', 'assessment', 'educational', 'progress']",problems national assessment educational progress,problems; national; assessment; educational; progress
Glass G.V.,A RANKING VARIABLE ANALOGUE OF BISERIAL CORRELATION: IMPLICATIONS FOR SHORT?êCUT ITEM ANALYSIS,1965,2,"['RANKING', 'variable', 'analogue', 'biserial', 'correlation', 'implication', 'SHORT?êCUT', 'ITEM', 'ANALYSIS']","['ranking', 'variable', 'analogue', 'biserial', 'correlation', 'implication', 'short-cut', 'item', 'analysis']",ranking variable analogue biserial correlation implication short-cut item analysis,ranking; variable; analogue; biserial; correlation; implication; short-cut; item; analysis
Smith H.W.; May W.T.; Lebovitz L.,TESTING EXPERIENCE AND STANFORD?êBINET SCORES,1966,3,"['testing', 'EXPERIENCE', 'STANFORD?êBINET', 'SCORES']","['testing', 'experience', 'stanford?êbinet', 'scores']",testing experience stanford?êbinet scores,testing; experience; stanford?êbinet; scores
Sassenrath J.M.; Pugh R.,RELATIONSHIPS AMONG CEEB SCHOLASTIC APTITUDE TEST AND AMERICAN COLLEGE TEST SCORES AND GRADE POINT AVERAGE,1965,2,"['relationship', 'CEEB', 'SCHOLASTIC', 'APTITUDE', 'AMERICAN', 'COLLEGE', 'SCORES', 'GRADE', 'POINT', 'AVERAGE']","['relationship', 'ceeb', 'scholastic', 'aptitude', 'american', 'college', 'scores', 'grade', 'point', 'average']",relationship ceeb scholastic aptitude american college scores grade point average,relationship; ceeb; scholastic; aptitude; american; college; scores; grade; point; average
Baker F.B.,ORIGINS OF THE ITEM PARAMETERS X50 AND Œ≤ AS A MODERN ITEM ANALYSIS TECHNIQUE,1965,2,"['ORIGINS', 'ITEM', 'PARAMETERS', 'X50', 'Œ≤', 'MODERN', 'ITEM', 'ANALYSIS', 'TECHNIQUE']","['origins', 'item', 'parameters', 'x50', 'Œ≤', 'modern', 'item', 'analysis', 'technique']",origins item parameters x50 Œ≤ modern item analysis technique,origins; item; parameters; x50; Œ≤; modern; item; analysis; technique
Egbert R.L.,THE ROLE OF COMPUTER SIMULATION IN EDUCATION,1965,2,"['ROLE', 'COMPUTER', 'SIMULATION']","['role', 'computer', 'simulation']",role computer simulation,role; computer; simulation
Menne J.W.,TECHNIQUES FOR EVALUATING THE COLLEGE ENVIRONMENT,1967,4,"['technique', 'evaluate', 'COLLEGE', 'ENVIRONMENT']","['technique', 'evaluate', 'college', 'environment']",technique evaluate college environment,technique; evaluate; college; environment
Ellis A.B.,REGIONAL DATA BANKS AND EDUCATION,1965,2,"['REGIONAL', 'datum', 'bank']","['regional', 'datum', 'bank']",regional datum bank,regional; datum; bank
Yett F.A.,THE SIMULATION OF MANAGEMENT DECISIONS FOR PROFESSIONAL STAFF CONTROL,1965,2,"['SIMULATION', 'management', 'decision', 'PROFESSIONAL', 'STAFF', 'CONTROL']","['simulation', 'management', 'decision', 'professional', 'staff', 'control']",simulation management decision professional staff control,simulation; management; decision; professional; staff; control
Lunneborg C.E.,A RESEARCH REVIEW OF THE WASHINGTON PRE?êCOLLEGE TESTING PROGRAM,1966,3,"['RESEARCH', 'REVIEW', 'WASHINGTON', 'PRE?êCOLLEGE', 'TESTING', 'program']","['research', 'review', 'washington', 'pre-college', 'testing', 'program']",research review washington pre-college testing program,research; review; washington; pre-college; testing; program
Hills J.R.,DIVERSITY AND THE EFFECT OF SELECTIVE ADMISSIONS,1966,3,"['DIVERSITY', 'effect', 'selective', 'admission']","['diversity', 'effect', 'selective', 'admission']",diversity effect selective admission,diversity; effect; selective; admission
"Steel T.B., Jr.",EDUCATION AND THE NEXT GENERATION OF COMPUTERS,1965,2,"['EDUCATION', 'generation', 'computer']","['education', 'generation', 'computer']",education generation computer,education; generation; computer
Brown F.G.; Scott D.A.,THE UNPREDICTABILITY OF PREDICTABILITY,1966,3,"['UNPREDICTABILITY', 'predictability']","['unpredictability', 'predictability']",unpredictability predictability,unpredictability; predictability
Moore J.C.,THE RELATIONSHIP BETWEEN TIME TAKEN TO COMPLETE THE EXAMPLE QUESTIONS AND RAW SCORE ON THE MILLER ANALOGIES TEST,1966,3,"['RELATIONSHIP', 'TIME', 'TAKEN', 'COMPLETE', 'example', 'question', 'raw', 'score', 'MILLER', 'ANALOGIES']","['relationship', 'time', 'taken', 'complete', 'example', 'question', 'raw', 'score', 'miller', 'analogies']",relationship time taken complete example question raw score miller analogies,relationship; time; taken; complete; example; question; raw; score; miller; analogies
Engelhart M.D.; Thomas M.,RICE AS THE INVENTOR OF THE COMPARATIVE TEST,1966,3,"['RICE', 'inventor', 'COMPARATIVE']","['rice', 'inventor', 'comparative']",rice inventor comparative,rice; inventor; comparative
Hills J.R.; Klock J.A.,SETTING CUTOFF SCORES IN SELECTIVE ADMISSIONS,1965,2,"['set', 'cutoff', 'SCORES', 'selective', 'admission']","['set', 'cutoff', 'scores', 'selective', 'admission']",set cutoff scores selective admission,set; cutoff; scores; selective; admission
Traub R.E.,A NOTE ON THE RELIABILITY OF RESIDUAL CHANGE SCORES,1967,4,"['note', 'RELIABILITY', 'RESIDUAL', 'CHANGE', 'SCORES']","['note', 'reliability', 'residual', 'change', 'scores']",note reliability residual change scores,note; reliability; residual; change; scores
Otto W.; McMenemy R.A.,AN APPRAISAL OF THE AMMONS QUICK TEST IN A REMEDIAL READING PROGRAM,1965,2,"['appraisal', 'AMMONS', 'QUICK', 'remedial', 'reading', 'program']","['appraisal', 'ammons', 'quick', 'remedial', 'reading', 'program']",appraisal ammons quick remedial reading program,appraisal; ammons; quick; remedial; reading; program
Cogswell J.F.; Egbert R.L.; Marsh D.G.; Yett F.A.,CONSTRUCTION AND USE OF THE SCHOOL SIMULATION VEHICLE,1965,2,"['construction', 'SCHOOL', 'SIMULATION', 'VEHICLE']","['construction', 'school', 'simulation', 'vehicle']",construction school simulation vehicle,construction; school; simulation; vehicle
Lewis W.A.,EARLY PREDICTION OF COLLEGE GPA USING PRE?êCOLLEGE SCHOOL GRADES,1966,3,"['early', 'PREDICTION', 'COLLEGE', 'GPA', 'PRE?êCOLLEGE', 'SCHOOL', 'GRADES']","['early', 'prediction', 'college', 'gpa', 'pre-college', 'school', 'grades']",early prediction college gpa pre-college school grades,early; prediction; college; gpa; pre-college; school; grades
Macarthur R.S.; Mosychuk H.,LOWER AND UPPER SOCIOECONOMIC GROUP CONTRASTS IN LONG?êTERM PREDICTABILITY OF GRADE NINE ACHIEVEMENT,1966,3,"['low', 'UPPER', 'SOCIOECONOMIC', 'GROUP', 'contrast', 'long-term', 'predictability', 'GRADE', 'NINE', 'achievement']","['low', 'upper', 'socioeconomic', 'group', 'contrast', 'long-term', 'predictability', 'grade', 'nine', 'achievement']",low upper socioeconomic group contrast long-term predictability grade nine achievement,low; upper; socioeconomic; group; contrast; long-term; predictability; grade; nine; achievement
Tenopyr M.L.; Jacobs A.; Michael W.B.,A DIMENSIONAL ANALYSIS OF GUILFORD?êZIMMERMAN TEMPERAMENT SURVEY SCORES RELATIVE TO CONTENT AND RESPONSE STYLE,1966,3,"['dimensional', 'analysis', 'GUILFORD?êZIMMERMAN', 'TEMPERAMENT', 'SURVEY', 'SCORES', 'relative', 'CONTENT', 'RESPONSE', 'STYLE']","['dimensional', 'analysis', 'guilford?êzimmerman', 'temperament', 'survey', 'scores', 'relative', 'content', 'response', 'style']",dimensional analysis guilford?êzimmerman temperament survey scores relative content response style,dimensional; analysis; guilford?êzimmerman; temperament; survey; scores; relative; content; response; style
Wolf R.,EVALUATION OF SEVERAL FORMULAE FOR CORRECTION OF ITEM?êTOTAL CORRELATIONS IN ITEM ANALYSIS,1967,4,"['evaluation', 'FORMULAE', 'correction', 'item-total', 'CORRELATIONS', 'ITEM', 'ANALYSIS']","['evaluation', 'formulae', 'correction', 'item-total', 'correlations', 'item', 'analysis']",evaluation formulae correction item-total correlations item analysis,evaluation; formulae; correction; item-total; correlations; item; analysis
Madaus G.F.; Rippey R.M.,ZEROING IN ON THE STEP WRITING TEST: WHAT DOES IT TELL A TEACHER?,1966,3,"['zero', 'ON', 'step', 'write', 'tell', 'teacher']","['zero', 'on', 'step', 'write', 'tell', 'teacher']",zero on step write tell teacher,zero; on; step; write; tell; teacher
Evans G.T.,GROWTH FACTOR ANALYSIS OF THE IOWA TESTS OF EDUCATIONAL DEVELOPMENT,1967,4,"['GROWTH', 'factor', 'analysis', 'iowa', 'EDUCATIONAL', 'DEVELOPMENT']","['growth', 'factor', 'analysis', 'iowa', 'educational', 'development']",growth factor analysis iowa educational development,growth; factor; analysis; iowa; educational; development
Hjelm H.F.,A NATIONAL DATA BANK ??THE U.S. OFFICE OF EDUCATION,1965,2,"['NATIONAL', 'DATA', 'BANK', '??, 'US', 'OFFICE']","['national', 'data', 'bank', '??, 'us', 'office']",national data bank ??us office,national; data; bank; ?? us; office
Coulson J.E.; Cogswell J.F.,EFFECTS OF INDIVIDUALIZED INSTRUCTION ON TESTING,1965,2,"['effect', 'individualized', 'instruction', 'ON', 'testing']","['effect', 'individualized', 'instruction', 'on', 'testing']",effect individualized instruction on testing,effect; individualized; instruction; on; testing
Graham P.A.,JOSEPH MAYER RICE AS A FOUNDER OF THE PROGRESSIVE EDUCATION MOVEMENT,1966,3,"['JOSEPH', 'MAYER', 'RICE', 'founder', 'PROGRESSIVE', 'EDUCATION', 'MOVEMENT']","['joseph', 'mayer', 'rice', 'founder', 'progressive', 'education', 'movement']",joseph mayer rice founder progressive education movement,joseph; mayer; rice; founder; progressive; education; movement
Forbes J.,OPERATIONAL GAMING AND DECISION SIMULATION,1965,2,"['operational', 'gaming', 'decision', 'simulation']","['operational', 'gaming', 'decision', 'simulation']",operational gaming decision simulation,operational; gaming; decision; simulation
Weitman M.,ITEM CHARACTERISTICS AND LONG?êTERM RETENTION,1965,2,"['ITEM', 'CHARACTERISTICS', 'LONG?êTERM', 'retention']","['item', 'characteristics', 'long-term', 'retention']",item characteristics long-term retention,item; characteristics; long-term; retention
Carver R.P.; DuBois P.H.,THE RELATIONSHIP BETWEEN LEARNING AND INTELLIGENCE,1967,4,"['RELATIONSHIP', 'LEARNING', 'INTELLIGENCE']","['relationship', 'learning', 'intelligence']",relationship learning intelligence,relationship; learning; intelligence
Caldwell E.; Hartnett R.,SEX BIAS IN COLLEGE GRADING?,1967,4,"['SEX', 'BIAS', 'COLLEGE', 'GRADING']","['sex', 'bias', 'college', 'grading']",sex bias college grading,sex; bias; college; grading
Hopkins K.D.; Lefever D.W.; Hopkins B.R.,TV VS. TEACHER ADMINISTRATION OF STANDARDIZED TESTS: COMPARABILITY OF SCORES,1967,4,"['tv', 'VS', 'teacher', 'ADMINISTRATION', 'standardized', 'comparability', 'scores']","['tv', 'vs', 'teacher', 'administration', 'standardized', 'comparability', 'scores']",tv vs teacher administration standardized comparability scores,tv; vs; teacher; administration; standardized; comparability; scores
Stanley J.C.; Porter A.C.,CORRELATION OF SCHOLASTIC APTITUDE TEST SCORE WITH COLLEGE GRADES FOR NEGROES VERSUS WHITES,1967,4,"['correlation', 'SCHOLASTIC', 'APTITUDE', 'score', 'COLLEGE', 'GRADES', 'NEGROES', 'versus', 'white']","['correlation', 'scholastic', 'aptitude', 'score', 'college', 'grades', 'negroes', 'versus', 'white']",correlation scholastic aptitude score college grades negroes versus white,correlation; scholastic; aptitude; score; college; grades; negroes; versus; white
Coffman W.E.,ON THE VALIDITY OF ESSAY TESTS OF ACHIEVEMENT,1966,3,"['VALIDITY', 'essay', 'ACHIEVEMENT']","['validity', 'essay', 'achievement']",validity essay achievement,validity; essay; achievement
Stanley J.C.,ANALYSIS OF VARIANCE OF GAIN SCORES WHEN INITIAL ASSIGNMENT IS RANDOM,1966,3,"['ANALYSIS', 'variance', 'GAIN', 'SCORES', 'INITIAL', 'ASSIGNMENT', 'RANDOM']","['analysis', 'variance', 'gain', 'scores', 'initial', 'assignment', 'random']",analysis variance gain scores initial assignment random,analysis; variance; gain; scores; initial; assignment; random
Dizney H.,CHARACTERISTICS OF CLASSROOM TEST ITEMS IDENTIFIED BY STUDENTS AS ?úUNFAIR??1965,2,"['CHARACTERISTICS', 'CLASSROOM', 'items', 'identify', 'student', '""', 'unfair', '""']","['characteristics', 'classroom', 'items', 'identify', 'student', '""', 'unfair', '""']","characteristics classroom items identify student "" unfair ""","characteristics; classroom; items; identify; student; ""; unfair; """,
Schwarz J.C.,A NEW PROCEDURE FOR ADMINISTERING OBJECTIVE TESTS TO LARGE CLASSES,1967,4,"['new', 'procedure', 'administer', 'objective', 'large', 'class']","['new', 'procedure', 'administer', 'objective', 'large', 'class']",new procedure administer objective large class,new; procedure; administer; objective; large; class
Forehand G.A.,THE ROLE OF THE EVALUATOR IN CURRICULUM RESEARCH,1966,3,"['ROLE', 'EVALUATOR', 'CURRICULUM', 'RESEARCH']","['role', 'evaluator', 'curriculum', 'research']",role evaluator curriculum research,role; evaluator; curriculum; research
Adams S.; Yon Brock R.C.,THE DEVELOPMENT OF THE A?êV SCALE OF ATTITUDES TOWARD MATHEMATICS,1967,4,"['DEVELOPMENT', 'A?êV', 'SCALE', 'ATTITUDES', 'MATHEMATICS']","['development', 'a-v', 'scale', 'attitudes', 'mathematics']",development a-v scale attitudes mathematics,development; a-v; scale; attitudes; mathematics
Schrader W.B.,A TAXONOMY OF EXPECTANCY TABLES,1965,2,"['TAXONOMY', 'EXPECTANCY', 'tables']","['taxonomy', 'expectancy', 'tables']",taxonomy expectancy tables,taxonomy; expectancy; tables
Clark J.L.D.,HEM?êBY?êITEM PARALLEL ACHIVEMENT TESTS FOR DIFFERENT FOREIGN LANGUAGES,1965,2,"['HEM?êBY?êITEM', 'PARALLEL', 'achivement', 'different', 'foreign', 'language']","['hem?êby-item', 'parallel', 'achivement', 'different', 'foreign', 'language']",hem?êby-item parallel achivement different foreign language,hem?êby-item; parallel; achivement; different; foreign; language
Stanley J.C.,GENERAL AND SPECIAL FORMULAS FOR RELIABILITY OF DIFFERENCES,1967,4,"['GENERAL', 'SPECIAL', 'formulas', 'RELIABILITY', 'difference']","['general', 'special', 'formulas', 'reliability', 'difference']",general special formulas reliability difference,general; special; formulas; reliability; difference
Cooley W.W.,THE PROJECT TALENT DATA BANK,1965,2,"['PROJECT', 'talent', 'DATA', 'BANK']","['project', 'talent', 'data', 'bank']",project talent data bank,project; talent; data; bank
Hartnett R.T.; Seligsohn H.C.,THE EFFECTS OF VARYING DEGREES OF ANONYMITY ON RESPONSES TO DIFFERENT TYPES OF PSYCHOLOGICAL QUESTIONNAIRES,1967,4,"['effect', 'VARYING', 'DEGREES', 'ANONYMITY', 'ON', 'response', 'different', 'type', 'PSYCHOLOGICAL', 'QUESTIONNAIRES']","['effect', 'varying', 'degrees', 'anonymity', 'on', 'response', 'different', 'type', 'psychological', 'questionnaires']",effect varying degrees anonymity on response different type psychological questionnaires,effect; varying; degrees; anonymity; on; response; different; type; psychological; questionnaires
Covington M.V.,A CHILDHOOD ATTITUDE INVENTORY FOR PROBLEM SOLVING,1966,3,"['CHILDHOOD', 'ATTITUDE', 'INVENTORY', 'problem', 'solving']","['childhood', 'attitude', 'inventory', 'problem', 'solving']",childhood attitude inventory problem solving,childhood; attitude; inventory; problem; solving
Glass G.V.,FACTORS IN TEACHERS' PERCEPTIONS OF STUDENTS,1967,4,"['factor', 'TEACHERS', 'perception', 'student']","['factor', 'teachers', 'perception', 'student']",factor teachers perception student,factor; teachers; perception; student
Yee A.H.,IS THE MINNESOTA TEACHER ATTITUDE INVENTORY VALID AND HOMOGENEOUS?,1967,4,"['minnesota', 'teacher', 'ATTITUDE', 'INVENTORY', 'VALID', 'HOMOGENEOUS']","['minnesota', 'teacher', 'attitude', 'inventory', 'valid', 'homogeneous']",minnesota teacher attitude inventory valid homogeneous,minnesota; teacher; attitude; inventory; valid; homogeneous
Cox R.C.,ITEM SELECTION TECHNIQUES AND EVALUATION OF INSTRUCTIONAL OBJECTIVES,1965,2,"['ITEM', 'SELECTION', 'TECHNIQUES', 'evaluation', 'instructional', 'objective']","['item', 'selection', 'techniques', 'evaluation', 'instructional', 'objective']",item selection techniques evaluation instructional objective,item; selection; techniques; evaluation; instructional; objective
"Aiken L.R., Jr",ANOTHER LOOK AT WEIGHTING TEST ITEMS,1966,3,"['LOOK', 'WEIGHTING', 'ITEMS']","['look', 'weighting', 'items']",look weighting items,look; weighting; items
