Authors,Title,Year,Volume,Abstract,T_tokens_,T_tokens,T_tokens_join
Pommerich M.; Segall D.O.,Local dependence in an operational CAT: Diagnosis and implications,2008,45,"The accuracy of CAT scores can be negatively affected by local dependence if the CAT utilizes parameters that are misspecified due to the presence of local dependence and/or fails to control for local dependence in responses during the administration stage. This article evaluates the existence and effect of local dependence in a test of Mathematics Knowledge. Diagnostic tools were first used to evaluate the existence of local dependence in items that were calibrated under a 3PL model. A simulation study was then used to evaluate the effect of local dependence on the precision of examinee CAT scores when the 3PL model was used for selection and scoring. The diagnostic evaluation showed strong evidence for local dependence. The simulation suggested that local dependence in parameters had a minimal effect on CAT score precision, while local dependence in responses had a substantial effect on score precision, depending on the degree of local dependence present. © 2008 by the National Council on Measurement in Education.","['local', 'dependence', 'operational', 'CAT', 'Diagnosis', 'implication']","['local', 'dependence', 'operational', 'cat', 'diagnosis', 'implication']",local dependence operational cat diagnosis implication
Penfield R.D.,Assessing differential step functioning in polytomous items using a common odds ratio estimator,2007,44,"Many statistics used in the assessment of differential item functioning (DIF) in polytomous items yield a single item-level index of measurement invariance that collapses information across all response options of the polytomous item. Utilizing a single item-level index of DIF can, however, be misleading if the magnitude or direction of the DIF changes across the steps underlying the polytomous response process. A more comprehensive approach to examining measurement invariance in polytomous item formats is to examine invariance at the level of each step of the polytomous item, a framework described in this article as differential step functioning (DSF). This article proposes a nonparametric DSF estimator that is based on the Mantel-Haenszel common odds ratio estimator (Mantel & Haenszel, 1959), which is frequently implemented in the detection of DIF in dichotomous items. A simulation study demonstrated that when the level of DSF varied in magnitude or sign across the steps underlying the polytomous response options, the DSF-based approach typically provided a more powerful and accurate test of measurement invariance than did corresponding item-level DIF estimators. © 2007 by the National Council on Measurement in Education.","['assess', 'differential', 'step', 'function', 'polytomous', 'item', 'common', 'odd', 'ratio', 'estimator']","['assess', 'differential', 'step', 'function', 'polytomous', 'item', 'common', 'odd', 'ratio', 'estimator']",assess differential step function polytomous item common odd ratio estimator
Finch H.; Habing B.,Comparison of NOHARM and DETECT in item cluster recovery: Counting dimensions and allocating items,2005,42,"This study examines the performance of a new method for assessing and characterizing dimensionality in test data using the NOHARM model, and comparing it with DETECT. Dimensionality assessment is carried out using two goodness-of-fit statistics that are compared to reference x 2 distributions. A Monte Carlo study is used with item parameters based on a statewide basic skills assessment and the SAT. Other factors that are varied include the correlation among the latent traits, the number of items, the number of subjects, skewness of the latent traits, and the presence or absence of guessing. The performance of the two procedures is judged by the accuracy in determining the number of underlying dimensions, and the degree to which items are correctly clustered together. Results indicate that the new, NOHARM-based method appears to perform comparably to DETECT in terms of simultaneously finding the correct number of dimensions and clustering items correctly. NOHARM is generally better able to determine the number of underlying dimensions, but less able to group items together, than DETECT. When errors in item cluster assignment are made, DETECT is more likely to incorrectly separate items while NOHARM more often incorrectly groups them together.","['Comparison', 'NOHARM', 'detect', 'item', 'cluster', 'recovery', 'counting', 'dimension', 'allocate', 'item']","['comparison', 'noharm', 'detect', 'item', 'cluster', 'recovery', 'counting', 'dimension', 'allocate', 'item']",comparison noharm detect item cluster recovery counting dimension allocate item
Andries Van Der Ark L.; Emons W.H.M.; Sijtsma K.,Detecting answer copying using alternate test forms and seat locations in small-scale examinations,2008,45,"Two types of answer-copying statistics for detecting copiers in small-scale examinations are proposed. One statistic identifies the ""copier- source"" pair, and the other in addition suggests who is copier and who is source. Both types of statistics can be used when the examination has alternate test forms. A simulation study shows that the statistics do not depend on the total-test score. Another simulation study compares the statistics with two known statistics, and shows that they have substantial power. The new statistics are applied to data from a small-scale examination (N = 230) with two alternate test forms. Auxiliary information on the seat location of the examinees and the test scores of the examinees was used to determine whether or not examinees could be suspected. © 2008 by the National Council on Measurement in Education.","['detect', 'answer', 'copying', 'alternate', 'test', 'form', 'seat', 'location', 'smallscale', 'examination']","['detect', 'answer', 'copying', 'alternate', 'test', 'form', 'seat', 'location', 'smallscale', 'examination']",detect answer copying alternate test form seat location smallscale examination
Holland P.W.; Sinharay S.; Von Davier A.A.; Han N.,An approach to evaluating the missing data assumptions of the chain and post-stratification equating methods for the NEAT design,2008,45,"Two important types of observed score equating (OSE) methods for the non-equivalent groups with Anchor Test (NEAT) design are chain equating (CE) and post-stratification equating (PSE). CE and PSE reflect two distinctly different ways of using the information provided by the anchor test for computing OSE functions. Both types of methods include linear and nonlinear equating functions. In practical situations, it is known that the PSE and CE methods will give different results when the two groups of examinees differ on the anchor test. However, given that both types of methods are justified as OSE methods by making different assumptions about the missing data in the NEAT design, it is difficult to conclude which, if either, of the two is more correct in a particular situation. This study compares the predictions of the PSE and CE assumptions for the missing data using a special data set for which the usually missing data are available. Our results indicate that in an equating setting where the linking function is decidedly non-linear and CE and PSE ought to be different, both sets of predictions are quite similar but those for CE are slightly more accurate. © 2007 by the National Council on Measurement in Education.","['approach', 'evaluate', 'miss', 'data', 'assumption', 'chain', 'poststratification', 'equate', 'method', 'NEAT', 'design']","['approach', 'evaluate', 'miss', 'data', 'assumption', 'chain', 'poststratification', 'equate', 'method', 'neat', 'design']",approach evaluate miss data assumption chain poststratification equate method neat design
Zwick R.; Greif Green J.,"New perspectives on the correlation of SAT scores, high school grades, and socioeconomic factors",2007,44,"In studies of the SAT, correlations of SAT scores, high school grades, and socioeconomic factors (SES) are usually obtained using a university as the unit of analysis. This approach obscures an important structural aspect of the data: The high school grades received by a given institution come from a large number of high schools, all of which have potentially different grading standards. SAT scores, on the other hand, can be assumed to have the same meaning across high schools. Our analyses of a large national sample show that, when pooled within-high-school analyses are applied, high school grades and class rank have larger correlations with family income and education than is evident in the results of typical analyses, and SAT scores have smaller associations with socioeconomic factors. SAT scores and high school grades, therefore, have more similar associations with SES than they do when only the usual across-high-school correlations are considered. © 2007 by the National Council on Measurement in Education.","['new', 'perspective', 'correlation', 'SAT', 'score', 'high', 'school', 'grade', 'socioeconomic', 'factor']","['new', 'perspective', 'correlation', 'sat', 'score', 'high', 'school', 'grade', 'socioeconomic', 'factor']",new perspective correlation sat score high school grade socioeconomic factor
Bridgeman B.; Cline F.,Effects of differentially time-consuming tests on computer-adaptive test scores,2004,41,"Time limits on some computer-adaptive tests (CATs) are such that many examinees have difficulty finishing, and some examinees may be administered tests with more time-consuming items than others. Results from over 100,000 examinees suggested that about half of the examinees must guess on the final six questions of the analytical section of the Graduate Record Examination if they were to finish before time expires. At the higher-ability levels, even more guessing was required because the questions administered to higher-ability examinees were typically more time consuming. Because the scoring model is not designed to cope with extended strings of guesses, substantial errors in ability estimates can be introduced when CATs have strict time limits. Furthermore, examinees who are administered tests with a disproportionate number of time-consuming items appear to get lower scores than examinees of comparable ability who are administered tests containing items that can be answered more quickly, though the issue is very complex because of the relationship of time and difficulty, and the multidimensionality of the test.","['effect', 'differentially', 'timeconsuming', 'test', 'computeradaptive', 'test', 'score']","['effect', 'differentially', 'timeconsuming', 'test', 'computeradaptive', 'test', 'score']",effect differentially timeconsuming test computeradaptive test score
Oshima T.C.; Raju N.S.; Nanda A.O.,A new method for assessing the statistical significance in the Differential Functioning of Items and Tests (DFIT) framework,2006,43,"A new item parameter replication method is proposed for assessing the statistical significance of the noncompensatory differential item functioning (NCDIF) index associated with the differential functioning of items and tests framework. In this new method, a cutoff score for each item is determined by obtaining a (1 -α) percentile rank score from a frequency distribution of NCDIF values under the no-DIF condition by generating a large number of item parameters based on the item parameter estimates and their variance-covariance structures from a computer program such as BIILOG-MG3. This cutoff for each item can be used as the basis for determining whether a given NCDIF index is significantly different from zero. This new method has definite advantages over the current method and yields cutoff values that are tailored to a particular data set and a particular item. A Monte Carlo assessment of this new method is presented and discussed. © Copyright 2006 by the National Council on Measurement in Education.","['new', 'method', 'assess', 'statistical', 'significance', 'Differential', 'Functioning', 'Items', 'Tests', 'dfit', 'framework']","['new', 'method', 'assess', 'statistical', 'significance', 'differential', 'functioning', 'items', 'tests', 'dfit', 'framework']",new method assess statistical significance differential functioning items tests dfit framework
Wollack J.A.; Cohen A.S.; Wells C.S.,A Method for Maintaining Scale Stability in the Presence of Test Speededness,2003,40,"Administering tests under time constraints may result in poorly estimated item parameters, particularly for items at the end of the test (Douglas, Kim, Habing, & Gao, 1998; Oshima, 1994). Bolt, Cohen, and Wollack (2002) developed an item response theory mixture model to identify a latent group of examinees for whom a test is overly speeded, and found that item parameter estimates for end-of-test items in the nonspeeded group were similar to estimates for those same items when administered earlier in the test. In this study, we used the Bolt et al. (2002) method to study the effect of removing speeded examinees on the stability of a score scale over an 11-year period. Results indicated that using only the nonspeeded examinees for equating and estimating item parameters provided a more unidimensional scale, smaller effects of item parameter drift (including fewer drifting items), and less scale drift (i.e., bias) and variability (i.e., root mean squared errors) when compared to the total group of examinees.","['Method', 'maintain', 'Scale', 'Stability', 'Presence', 'Test', 'Speededness']","['method', 'maintain', 'scale', 'stability', 'presence', 'test', 'speededness']",method maintain scale stability presence test speededness
Lei P.-W.; Chen S.-Y.; Yu L.,Comparing methods of assessing differential item functioning in a computerized adaptive testing environment,2006,43,"Mantel-Haenszel and SIBTEST, which have known difficulty in detecting non-unidirectional differential item functioning (DIF), have been adapted with some success for computerized adaptive testing (CAT). This study adapts logistic regression (LR) and the item-response-theory-likelihood-ratio test (IRT-LRT), capable of detecting both unidirectional and non-unidirectional DIP, to the CAT environment in which pretest items are assumed to be seeded in CATs but not used for trait estimation. The proposed adaptation methods were evaluated with simulated data under different sample size ratios and impact conditions in terms of Type I error, power, and specificity in identifying the form of DIF. The adapted LR and IRT-LRT procedures are more powerful than the CAT version of SIBTEST for non-unidirectional DIF detection. The good Type I error control provided by IRT-LRT under extremely unequal sample sizes and large impact is encouraging. Implications of these and other findings are discussed.","['compare', 'method', 'assess', 'differential', 'item', 'function', 'computerized', 'adaptive', 'testing', 'environment']","['compare', 'method', 'assess', 'differential', 'item', 'function', 'computerized', 'adaptive', 'testing', 'environment']",compare method assess differential item function computerized adaptive testing environment
Briggs D.C.; Wilson M.,Generalizability in item response modeling,2007,44,"An approach called generalizability in item response modeling (GIRM) is introduced in this article. The GIRM approach essentially incorporates the sampling model of generalizability theory (GT) into the scaling model of item response theory (IRT) by making distributional assumptions about the relevant measurement facets. By specifying a random effects measurement model, and taking advantage of the flexibility of Markov Chain Monte Carlo (MCMC) estimation methods, it becomes possible to estimate GT variance components simultaneously with traditional IRT parameters. It is shown how GT and IRT can be linked together, in the context of a single-facet measurement design with binary items. Using both simulated and empirical data with the software WinBUGS, the GIRM approach is shown to produce results comparable to those from a standard GT analysis, while also producing results from a random effects IRT model. © 2007 by the National Council on Measurement in Education.","['generalizability', 'item', 'response']","['generalizability', 'item', 'response']",generalizability item response
Skaggs G.,Accuracy of random groups equating with very small samples,2005,42,"This study investigated the effectiveness of equating with very small samples using the random groups design. Of particular interest was equating accuracy at specific scores where performance standards might be set. Two sets of simulations were carried out, one in which the two forms were identical and one in which they differed by a tenth of a standard deviation in overall difficulty. These forms were equated using mean equating, linear equating, unsmoothed equipercentile equating, and equipercentile equating using two through six moments of log-linear presmoothing with samples of 25, 50, 75, 100, 150, and 200. The results indicated that identity equating was preferable to any equating method when samples were as small as 25. For samples of 50 and above, the choice of an equating method over identity equating depended on the location of the passing score relative to examinee performance. If passing scores were located below the mean, where data were sparser, mean equating produced the smallest percentage of misclassified examinees. For passing scores near the mean, all methods produced similar results with linear equating being the most accurate. For passing scores above the mean, equipercentile equating with 2-and 3-moment presmoothing were the best equating methods. Higher levels of presmoothing did not improve the results.","['accuracy', 'random', 'group', 'equate', 'small', 'sample']","['accuracy', 'random', 'group', 'equate', 'small', 'sample']",accuracy random group equate small sample
Schulz E.M.; Betebenner D.; Ahn M.,Hierarchical logistic regression in course placement,2004,41,"Whether hierarchical logistic regression can reduce the sample size requirement for estimating optimal cutoff scores in a course placement service where predictive validity is measured by a threshold utility function is explored. Data from courses with varying class size were randomly partitioned into two halves per course. Non-hierarchical and hierarchical analyses were performed on each half. Compared to their nonhierarchical counterparts, hierarchically estimated cutoff scores from different halves were more stable and predicted course outcomes in the other half more accurately. These differences were mostpronounced with small samples. Sample size requirements for developing cutoff scores for course placement can be substantially reduced if hierarchical logistic regression is used.","['hierarchical', 'logistic', 'regression', 'course', 'placement']","['hierarchical', 'logistic', 'regression', 'course', 'placement']",hierarchical logistic regression course placement
Puhan G.; Moses T.P.; Grant M.C.; McHale F.,Small-sample equating using a single-group nearly equivalent test (SiGNET) design,2009,46,"A single-group (SG) equating with nearly equivalent test forms (SiGNET) design was developed by Grant to equate small-volume tests. Under this design, the scored items for the operational form are divided into testlets or mini tests. An additional testlet is created but not scored for the first form. If the scored testlets are testlets 1-6 and the unscored testlet is testlet 7, then the first form is composed of testlets 1-6 and the second form is composed of testlets 2-7. The seven testlets are administered as a single administered form, and when a sufficient number of examinees have taken the administered form, the second form (testlets 2-7) is equated to the first form (testlets 1-6) using an SG equating design. As evident, this design facilitates the use of an SG equating and allows for the accumulation of data, both of which may reduce equating error. This study compared equatings under the SiGNET and common-item equating designs and found lower equating error for the SiGNET design in very small sample size conditions (e.g., N = 10). © 2009 by the National Council on Measurement in Education.","['smallsample', 'equating', 'singlegroup', 'nearly', 'equivalent', 'test', 'SiGNET', 'design']","['smallsample', 'equating', 'singlegroup', 'nearly', 'equivalent', 'test', 'signet', 'design']",smallsample equating singlegroup nearly equivalent test signet design
Kupermintz H.,On the reliability of categorically scored examinations,2004,41,A decision-theoretic approach to the question of reliability in categorically scored examinations is explored. The concepts of true scores and errors are discussed as they deviate from conventional psychometric definitions and measurement error in categorical scores is cast in terms of misclassifications. A reliability measure based on proportional reduction in loss (PRL) is then presented and exemplified with data from a large-scale assessment. The link between the PRL approach and the classical conception of reliability is discussed. Some design considerations for reliability studies are also discussed.,"['reliability', 'categorically', 'score', 'examination']","['reliability', 'categorically', 'score', 'examination']",reliability categorically score examination
Bolt D.M.; Gierl M.J.,Testing features of graphical DIF: Application of a regression correction to three nonparametric statistical tests,2006,43,"Inspection of differential item functioning (DIF) in translated test items can be informed by graphical comparisons of item response functions (IRFs) across translated forms. Due to the many forms of DIF that can emerge in such analyses, it is important to develop statistical tests that can confirm various characteristics of DIF when present. Traditional nonparametric tests of DIF (Mantel-Haenszel, SIBTEST) are not designed to test for the presence of nonuniform or local DIF, while common probability difference (P-DIF) tests (e.g., SIBTEST) do not optimize power in testing for uniform DIF, and thus may be less useful in the context of graphical DIF analyses. In this article, modifications of three alternative nonparametric statistical tests for DIF, Fisher's χ 2 test, Cochran's Z test, and Goodman's U test (Marascuilo & Slaughter, 1981), are investigated for these purposes. A simulation study demonstrates the effectiveness of a regression correction procedure in improving the statistical performance of the tests when using an internal test score as the matching criterion. Simulation power and real data analyses demonstrate the unique information provided by these alternative methods compared to SIBTEST and Mantel-Haenszel in confirming various forms of DIF in translated tests.","['testing', 'feature', 'graphical', 'DIF', 'application', 'regression', 'correction', 'nonparametric', 'statistical', 'test']","['testing', 'feature', 'graphical', 'dif', 'application', 'regression', 'correction', 'nonparametric', 'statistical', 'test']",testing feature graphical dif application regression correction nonparametric statistical test
Moses T.; Yang W.-L.; Wilson C.,Using kernel equating to assess item order effects on test scores,2007,44,"This study explored the use of kernel equating for integrating and extending two procedures proposed for assessing item order effects in test forms that have been administered to randomly equivalent groups. When these procedures are used together, they can provide complementary information about the extent to which item order effects impact test scores, in overall score distributions and also at specific test scores. In addition to detecting item order effects, the integrated procedures also suggest the equating function that most adequately adjusts the scores to mitigate the effects. To demonstrate, the statistical equivalences of alternate versions of two large-volume advanced placement exams were assessed. © 2007 by the National Council on Measurement in Education.","['kernel', 'equating', 'assess', 'item', 'order', 'effect', 'test', 'score']","['kernel', 'equating', 'assess', 'item', 'order', 'effect', 'test', 'score']",kernel equating assess item order effect test score
Dodeen H.,The relationship between item parameters and item fit,2004,41,"The effect of item parameters (discrimination, difficulty, and level of guessing) on the item fit statistic was investigated using simulated dichotomous data. Nine tests were simulated using 1, 000 persons, 50 items, three levels of item discrimination, three levels of item difficulty, and three levels of guessing. The item fit was estimated using two fit statistics: the likelihood ratio statistic (ξB2), and the standardized residuals (SRs). All the item parameters were simulated to be normally distributed. Results showed that the levels of item discrimination and guessing affected the item-fit values. As the level of item discrimination or guessing increased, item-fit values increased and more items misfit the model. The level of item difficulty did not affect the item-fit statistic.","['relationship', 'item', 'parameter', 'item', 'fit']","['relationship', 'item', 'parameter', 'item', 'fit']",relationship item parameter item fit
Wang W.-C.; Wilson M.; Shih C.-L.,Modeling randomness in judging rating scales with a random-effects rating scale model,2006,43,"This study presents the random-effects rating scale model (RE-RSM) which takes into account randomness in the thresholds over persons by treating them as random-effects and adding a random variable for each threshold in the rating scale model (RSM) (Andrich, 1978). The RE-RSM turns out to be a special case of the multidimensional random coefficients multinomial logit model (MRCMLM) (Adams, Wilson, & Wang, 1997) so that the estimation procedures for the MRCMLM can be directly applied. The results of the simulation indicated that when the data were generated from the RSM, using the RSM and the RE-RSM to fit the data made little difference: both resulting in accurate parameter recovery. When the data were generated from the RE-RSM, using the RE-RSM to fit the data resulted in unbiased estimates, whereas using the RSM resulted in biased estimates, large fit statistics for the thresholds, and inflated test reliability. An empirical example of 10 items with four-point rating scales was illustrated in which four models were compared: the RSM, the RE-RSM, the partial credit model (Masters, 1982), and the constrained random-effects partial credit model. In this real data set, the need for a random-effects formulation becomes clear.","['randomness', 'judge', 'rating', 'scale', 'randomeffect', 'rating', 'scale']","['randomness', 'judge', 'rating', 'scale', 'randomeffect', 'rating', 'scale']",randomness judge rating scale randomeffect rating scale
Kang T.; Chen T.T.,Performance of the generalized S-X2 item fit index for polytomous IRT models,2008,45,"Orlando and Thissen's S-X2 item fit index has performed better than traditional item fit statistics such as Yen's Q1 and McKinley and Mill's G2 for dichotomous item response theory (IRT) models. This study extends the utility of S-X2 to polytomous IRT models, including the generalized partial credit model, partial credit model, and rating scale model. The performance of the generalized S-X2 in assessing item model fit was studied in terms of empirical Type I error rates and power and compared to G2. The results suggest that the generalized S-X 2 is promising for polytomous items in educational and psychological testing programs. © 2008 by the National Council on Measurement in Education.","['performance', 'generalized', 'SX2', 'item', 'fit', 'index', 'polytomous', 'IRT']","['performance', 'generalized', 'sx2', 'item', 'fit', 'index', 'polytomous', 'irt']",performance generalized sx2 item fit index polytomous irt
Sinharay S.; Holland P.W.,Is it necessary to make anchor tests mini-versions of the tests being equated or can some restrictions be relaxed?,2007,44,"It is a widely held belief that anchor tests should be miniature versions (i.e., minitests), with respect to content and statistical characteristics, of the tests being equated. This article examines the foundations for this belief regarding statistical characteristics. It examines the requirement of statistical representativeness of anchor tests that are content representative. The equating performance of several types of anchor tests, including those having statistical characteristics that differ from those of the tests being equated, is examined through several simulation studies and a real data example. Anchor tests with a spread of item difficulties less than that of a total test seem to perform as well as a minitest with respect to equating bias and equating standard error. Hence, the results demonstrate that requiring an anchor test to mimic the statistical characteristics of the total test may be too restrictive and need not be optimal. As a side benefit, this article also provides a comparison of the equating performance of post-stratification equating and chain equipercentile equating. © 2007 by the National Council on Measurement in Education.","['necessary', 'anchor', 'test', 'miniversion', 'test', 'equate', 'restriction', 'relax']","['necessary', 'anchor', 'test', 'miniversion', 'test', 'equate', 'restriction', 'relax']",necessary anchor test miniversion test equate restriction relax
Cui Z.; Kolen M.J.,Evaluation of two new Smoothing methods in equating: The cubic B-spline presmoothing method and the direct presmoothing method,2009,46,"This article considers two new smoothing methods in equipercentile equating, the cubic B-spline presmoothing method and the direct presmoothing method. Using a simulation study, these two methods are compared with established methods, the beta-4 method, the polynomial loglinear method, and the cubic spline postsmoothing method, under three sample sizes (300, 1,000, and 3,000) and for three test content areas (ITBS Maps and Diagrams, ITBS Reference and Materials, and ITBS Capitalization). Ten thousand random samples were simulated from population distributions, and the standard error, bias, and RMSE statistics were calculated. The cubic B-spline presmoothing method performed well in reducing total error of equating, whereas the direct presmoothing method appeared to need some modification for it to be as accurate as other smoothing methods. © 2009 by the National Council on Measurement in Education.","['evaluation', 'new', 'smoothing', 'method', 'equate', 'cubic', 'Bspline', 'presmoothe', 'method', 'direct', 'presmoothing', 'method']","['evaluation', 'new', 'smoothing', 'method', 'equate', 'cubic', 'bspline', 'presmoothe', 'method', 'direct', 'presmoothing', 'method']",evaluation new smoothing method equate cubic bspline presmoothe method direct presmoothing method
Bolt D.,The present and future of IRT-based cognitive diagnostic models (ICDMs) and related methods,2007,44,"As the goals of educational assessment evolve from the strictly evaluative to the diagnostically useful, so also evolve the statistical methods used to build, validate, and interpret educational tests. The methods discussed in this special issue all approach diagnosis in an item response theory (IRT) related way, with models that are parameterized at the item level and that extract information from individual item responses. Clearly, their most distinguishing feature is their more complex, multidimensional representation of examinee proficiency. This representation can be built directly into an item response model (as seen in most clearly in Almond, DiBello, Moulder, & Zapata-Rivera, 2007; Henson, Templin, & Douglas, 2007; Roussos, Templin, & Henson, 2007; Stout, 2007) or else it can provide a framework for interpreting (residual) pattems in item responses (as is seen in Gierl, 2007). The complexity of the proficiency space introduces corresponding complexities into the statistical modeling and score reporting aspects of diagnosis. A high level of expert judgment is needed in formulating appropriate models. One of the primary challenges in implementing IRT-based cognitively diagnostic model (ICDMs) requires determining which aspects of the modeling process should be constrained through expert judgment and which can and should be informed by observed item response data. The vast array of psychometric models now available for diagnosis and the different ways they handle these complexities (e.g., how many levels for each skill, how do skills interact, how does skill mastery translate to item performance, etc.) make model selection a central issue. At the same time, it can be challenging to compare models according to goodness of fit due to the many other aspects within each model that must be informed by experts (e.g., entries of the item-by-skill Q-
matrix, structure of the proficiency space, etc). Data-driven model re-specification is often messy. Collectively, the papers presented in this Special Issue provide a comprehensive overview of the state of the art in IRT-based diagnosis. While all emphasize a common end-goal of examinee diagnosis, the process by which this is achieved and the balance of data-driven and expert-driven decision making used along the way also introduce important differences.","['present', 'future', 'irtbased', 'cognitive', 'diagnostic', 'icdm', 'relate', 'method']","['present', 'future', 'irtbased', 'cognitive', 'diagnostic', 'icdm', 'relate', 'method']",present future irtbased cognitive diagnostic icdm relate method
Cui Y.; Leighton J.P.,The hierarchy consistency index: Evaluating person fit for cognitive diagnostic assessment,2009,46,"In this article, we introduce a person-fit statistic called the hierarchy consistency index (HCI) to help detect misfitting item response vectors for tests developed and analyzed based on a cognitive model. The HCI ranges from -1.0 to 1.0, with values close to -1.0 indicating that students respond unexpectedly or differently from the responses expected under a given cognitive model. A simulation study was conducted to evaluate the power of the HCI in detecting different types of misfitting item response vectors. Simulation results revealed that the detection rate of the HCI was a function of type of misfit, item discriminating power, and test length. The best detection rates were achieved when the HCI was applied to tests that consisted of a large number of highly discriminating items. In addition, whether a misfitting item response vector can be correctly identified depends, to a large degree, on the number of misfits of the item response vector relative to the cognitive model. When misfitting response behavior only affects a small number of item responses, the resulting item response vector will not be substantially different from the expectations under the cognitive model and consequently may not be statistically identified as misfitting. As an item response vector deviates further from the model expectations, misfits are more easily identified and consequently higher detection rates of the HCI are expected. © 2009 by the National Council on Measurement in Education.","['hierarchy', 'consistency', 'index', 'evaluate', 'person', 'fit', 'cognitive', 'diagnostic', 'assessment']","['hierarchy', 'consistency', 'index', 'evaluate', 'person', 'fit', 'cognitive', 'diagnostic', 'assessment']",hierarchy consistency index evaluate person fit cognitive diagnostic assessment
Davis S.L.; Buckendahl C.W.; Plake B.S.,When adaptation is not an option: An application of multilingual standard setting,2008,45,"As an alternative to adaptation, tests may also be developed simultaneously in multiple languages. Although the items on such tests could vary substantially, scores from these tests may be used to make the same types of decisions about different groups of examinees. The ability to make such decisions is contingent upon setting performance standards for each exam that allow for comparable interpretations of test results. This article describes a standard setting process used for a multilingual high school literacy assessment constructed under these conditions. This methodology was designed to address the specific challenges presented by this testing program including maintaining equivalent expectations for performance across different student populations. The validity evidence collected to support the methodology and results is discussed along with recommendations for future practice. © 2008 by the National Council on Measurement in Education.","['adaptation', 'option', 'application', 'multilingual', 'standard', 'setting']","['adaptation', 'option', 'application', 'multilingual', 'standard', 'setting']",adaptation option application multilingual standard setting
Moses T.; Holland P.W.,Selection strategies for univariate loglinear smoothing models and their effect on equating function accuracy,2009,46,"In this study, we compared 12 statistical strategies proposed for selecting loglinear models for smoothing univariate test score distributions and for enhancing the stability of equipercentile equating functions. The major focus was on evaluating the effects of the selection strategies on equating function accuracy. Selection strategies' influence on the estimation of cumulative test score distributions was also assessed. The results of this simulation study differentiate the selection strategies and define the situations where their use has the most important implications for equating function accuracy. The recommended strategy for estimating test score distributions and for equating is AIC minimization. © 2009 by the National Council on Measurement in Education.","['selection', 'strategy', 'univariate', 'loglinear', 'smoothing', 'effect', 'equate', 'function', 'accuracy']","['selection', 'strategy', 'univariate', 'loglinear', 'smoothing', 'effect', 'equate', 'function', 'accuracy']",selection strategy univariate loglinear smoothing effect equate function accuracy
Kim D.-I.; Brennan R.; Kolen M.,A comparison of IRT equating and beta 4 equating,2005,42,"Four equating methods (3PL true score equating, 3PL observed score equating, beta 4 true score equating, and beta 4 observed score equating) were compared using four equating criteria: first-order equity (FOE), second-order equity (SOE), conditional-mean-squared-error (CMSE) difference, and the equipercentile equating property. True score equating more closely achieved estimated FOE than observed score equating when the true score distribution was estimated using the psychometric model that was used in the equating. Observed score equating more closely achieved estimated SOE, estimated CMSE difference, and the equipercentile equating property than true score equating. Among the four equating methods, 3PL observed score equating most closely achieved estimated SOE and had the smallest estimated CMSE difference, and beta 4 observed score equating was the method that most closely met the equipercentile equating property.","['comparison', 'IRT', 'equate', 'beta', '4', 'equate']","['comparison', 'irt', 'equate', 'beta', '4', 'equate']",comparison irt equate beta 4 equate
Sinharay S.; Lu Y.,A further look at the correlation between item parameters and item fit statistics,2008,45,"Dodeen (2004) studied the correlation between the item parameters of the three-parameter logistic model and two item fit statistics, and found some linear relationships (e.g., a positive correlation between item discrimination parameters and item fit statistics) that have the potential for influencing the work of practitioners who employ item response theory. This article examines the same type of linear relationships as studied by Dodeen. However, this article adds to the literature by employing item fit statistics not considered by Dodeen, which have been recently suggested and whose Type I error rates have been demonstrated to be generally close to the nominal level. Detailed simulations show that if one uses certain of the recently suggested item fit statistics, there is no need to worry about any linear relationships between the item parameters and item fit statistics. © 2007 by the National Council on Measurement in Education.","['look', 'correlation', 'item', 'parameter', 'item', 'fit', 'statistic']","['look', 'correlation', 'item', 'parameter', 'item', 'fit', 'statistic']",look correlation item parameter item fit statistic
Culpepper S.A.; Davenport E.C.,Assessing differential prediction of college grades by race/ethnicity with a multilevel model,2009,46,"Previous research notes the importance of understanding racial/ethnic differential prediction of college grades across multiple institutions. Institutional variation in selection indices is especially important given some states' laws governing public institutions' admissions decisions. This paper employed multilevel moderated multiple regression to study the variation of selection indices across 30 institutions and the accuracy of selection indices in predicting college grades for students of different racial/ethnic backgrounds. Several benefits of multilevel models for cross-institutional differential prediction studies were described and include: controlling for institutional differences in range restriction, providing reliability estimates of least squares estimates, and adjusting criterion scores for differences in coursework difficulty. The findings from this study provide evidence of institutional variation in selection indices, which challenges current laws aimed at standardizing them. Specifically, there was evidence that the predictor slope coefficients varied across institutions, in addition to the estimates that measured intercept differences for African and Asian American students. Across universities, the results mirrored previous findings: high school grade point average (GPA) differentially predicted grades for African Americans, SAT verbal scores differentially predict grades for Asian Americans, and SAT math scores were better predictors of Asian Americans' grades. © 2009 by the National Council on Measurement in Education.","['assess', 'differential', 'prediction', 'college', 'grade', 'raceethnicity', 'multilevel']","['assess', 'differential', 'prediction', 'college', 'grade', 'raceethnicity', 'multilevel']",assess differential prediction college grade raceethnicity multilevel
