Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join
Smith R.M.,Assessing Partial Knowledge in Vocabulary,1987,24,"['assess', 'Partial', 'Knowledge', 'Vocabulary']","['assess', 'partial', 'knowledge', 'vocabulary']",assess partial knowledge vocabulary
Tatsuoka K.K.; Birenbaum M.; Arnold J.,On the Stability of Students’Rules of Operation for Solving Arithmetic Problems,1989,26,"['Stability', 'Students’Rules', 'Operation', 'solve', 'Arithmetic', 'problem']","['stability', 'students’rules', 'operation', 'solve', 'arithmetic', 'problem']",stability students’rules operation solve arithmetic problem
Hills J.R.; Subhiyah R.G.; Hirsch T.M.,Equating Minimum‐Competency Tests: Comparisons of Methods,1988,25,"['Equating', 'Minimum‐Competency', 'test', 'Comparisons', 'method']","['equating', 'minimum‐competency', 'test', 'comparisons', 'method']",equating minimum‐competency test comparisons method
McLarty J.R.; Noble A.C.; Huntley R.M.,Effects of Item Wording on Sex Bias,1989,26,"['effect', 'Item', 'Wording', 'Sex', 'Bias']","['effect', 'item', 'wording', 'sex', 'bias']",effect item wording sex bias
Gohmann S.F.,"Comparing State SAT Scores: Problems, Biases, and Corrections",1988,25,"['compare', 'State', 'SAT', 'Scores', 'Problems', 'Biases', 'Corrections']","['compare', 'state', 'sat', 'scores', 'problems', 'biases', 'corrections']",compare state sat scores problems biases corrections
Houston W.M.; Noviek M.R.,Race‐Based Differential Prediction in Air Force Technical Training Programs,1987,24,"['race‐base', 'Differential', 'Prediction', 'Air', 'Force', 'Technical', 'Training', 'Programs']","['race‐base', 'differential', 'prediction', 'air', 'force', 'technical', 'training', 'programs']",race‐base differential prediction air force technical training programs
GARG R.; BOSS M.W.; CARLSON J.E.,A COMPARISON OF EXAMINEE SAMPLING AND MULTIPLE MATRIX SAMPLING IN TEST DEVELOPMENT,1986,23,"['comparison', 'EXAMINEE', 'sampling', 'multiple', 'matrix', 'SAMPLING', 'test', 'DEVELOPMENT']","['comparison', 'examinee', 'sampling', 'multiple', 'matrix', 'sampling', 'test', 'development']",comparison examinee sampling multiple matrix sampling test development
Secolsky C.,On the Direct Measurement of Face Validity: A Comment on Nevo,1987,24,"['Direct', 'Face', 'Validity', 'comment', 'Nevo']","['direct', 'face', 'validity', 'comment', 'nevo']",direct face validity comment nevo
Andrich D.,Statistical Reasoning in Psychometric Models and Educational Measurement,1989,26,"['statistical', 'Reasoning', 'Psychometric', 'Models', 'Educational']","['statistical', 'reasoning', 'psychometric', 'models', 'educational']",statistical reasoning psychometric models educational
Zwick R.,Assessing the Dimensionality of NAEP Reading Data,1987,24,"['assess', 'Dimensionality', 'NAEP', 'Reading', 'Data']","['assess', 'dimensionality', 'naep', 'reading', 'data']",assess dimensionality naep reading data
Reckase M.D.; Ackerman T.A.; Carlson J.E.,Building a Unidimensional Test Using Multidimensional Items,1988,25,"['build', 'unidimensional', 'test', 'Multidimensional', 'Items']","['build', 'unidimensional', 'test', 'multidimensional', 'items']",build unidimensional test multidimensional items
WEISS D.J.; KINGSBURY G.G.,APPLICATION OF COMPUTERIZED ADAPTIVE TESTING TO EDUCATIONAL PROBLEMS,1984,21,"['application', 'computerized', 'ADAPTIVE', 'testing', 'educational', 'problems']","['application', 'computerized', 'adaptive', 'testing', 'educational', 'problems']",application computerized adaptive testing educational problems
FRISBIE D.A.; SWEENEY D.C.,THE RELATIVE MERITS OF MULTIPLE TRUE‐FALSE ACHIEVEMENT TESTS,1982,19,"['relative', 'merit', 'MULTIPLE', 'true‐false', 'ACHIEVEMENT', 'test']","['relative', 'merit', 'multiple', 'true‐false', 'achievement', 'test']",relative merit multiple true‐false achievement test
MCMORRIS R.F.; URBACH S.L.; CONNOR M.C.,EFFECTS OF INCORPORATING HUMOR IN TEST ITEMS,1985,22,"['effect', 'incorporate', 'humor', 'test', 'ITEMS']","['effect', 'incorporate', 'humor', 'test', 'items']",effect incorporate humor test items
WOLFLE L.M.; ROBERTSHAW D.,RACIAL DIFFERENCES IN MEASUREMENT ERROR IN EDUCATIONAL ACHIEVEMENT MODELS,1983,20,"['racial', 'difference', 'error', 'EDUCATIONAL', 'achievement']","['racial', 'difference', 'error', 'educational', 'achievement']",racial difference error educational achievement
BEUK C.H.,A METHOD FOR REACHING A COMPROMISE BETWEEN ABSOLUTE AND RELATIVE STANDARDS IN EXAMINATIONS,1984,21,"['METHOD', 'reach', 'compromise', 'ABSOLUTE', 'relative', 'STANDARDS', 'EXAMINATIONS']","['method', 'reach', 'compromise', 'absolute', 'relative', 'standards', 'examinations']",method reach compromise absolute relative standards examinations
HOPKINS K.D.; GEORGE C.A.; WILLIAMS D.D.,THE CONCURRENT VALIDITY OF STANDARDIZED ACHIEVEMENT TESTS BY CONTENT AREA USING TEACHERS' RATINGS AS CRITERIA,1985,22,"['concurrent', 'VALIDITY', 'standardized', 'achievement', 'test', 'CONTENT', 'area', 'TEACHERS', 'RATINGS', 'CRITERIA']","['concurrent', 'validity', 'standardized', 'achievement', 'test', 'content', 'area', 'teachers', 'ratings', 'criteria']",concurrent validity standardized achievement test content area teachers ratings criteria
FLYNN J.R.,IQ GAINS AND THE BINET DECREMENTS,1984,21,"['iq', 'gain', 'binet', 'decrement']","['iq', 'gain', 'binet', 'decrement']",iq gain binet decrement
STIGGINS R.J.; BRIDGEFORD N.J.,THE ECOLOGY OF CLASSROOM ASSESSMENT,1985,22,"['ecology', 'CLASSROOM', 'assessment']","['ecology', 'classroom', 'assessment']",ecology classroom assessment
LIVINGSTON S.A.,ESTIMATION OF THE CONDITIONAL STANDARD ERROR OF MEASUREMENT FOR STRATIFIED TESTS,1982,19,"['estimation', 'CONDITIONAL', 'STANDARD', 'error', 'STRATIFIED', 'TESTS']","['estimation', 'conditional', 'standard', 'error', 'stratified', 'tests']",estimation conditional standard error stratified tests
TATSUOKA K.K.,RULE SPACE: AN APPROACH FOR DEALING WITH MISCONCEPTIONS BASED ON ITEM RESPONSE THEORY,1983,20,"['RULE', 'SPACE', 'AN', 'APPROACH', 'deal', 'MISCONCEPTIONS', 'based', 'ITEM', 'RESPONSE', 'THEORY']","['rule', 'space', 'an', 'approach', 'deal', 'misconceptions', 'based', 'item', 'response', 'theory']",rule space an approach deal misconceptions based item response theory
HARNISCH D.L.,ITEM RESPONSE PATTERNS: APPLICATIONS FOR EDUCATIONAL PRACTICE,1983,20,"['ITEM', 'RESPONSE', 'PATTERNS', 'APPLICATIONS', 'educational', 'practice']","['item', 'response', 'patterns', 'applications', 'educational', 'practice']",item response patterns applications educational practice
HARDY R.A.,MEASURING INSTRUCTIONAL VALIDITY: A REPORT OF AN INSTRUCTIONAL VALIDITY STUDY FOR THE ALABAMA HIGH SCHOOL GRADUATION EXAMINATION,1984,21,"['measure', 'instructional', 'VALIDITY', 'report', 'instructional', 'VALIDITY', 'study', 'ALABAMA', 'HIGH', 'SCHOOL', 'GRADUATION', 'examination']","['measure', 'instructional', 'validity', 'report', 'instructional', 'validity', 'study', 'alabama', 'high', 'school', 'graduation', 'examination']",measure instructional validity report instructional validity study alabama high school graduation examination
HAERTEL E.,DETECTION OF A SKILL DICHOTOMY USING STANDARDIZED ACHIEVEMENT TEST ITEMS,1984,21,"['detection', 'SKILL', 'DICHOTOMY', 'STANDARDIZED', 'ACHIEVEMENT', 'test', 'ITEMS']","['detection', 'skill', 'dichotomy', 'standardized', 'achievement', 'test', 'items']",detection skill dichotomy standardized achievement test items
BAKER E.L.; HERMAN J.L.,TASK STRUCTURE DESIGN: BEYOND LINKAGE,1983,20,"['TASK', 'structure', 'DESIGN', 'linkage']","['task', 'structure', 'design', 'linkage']",task structure design linkage
SECOLSKY C.,USING EXAMINEE JUDGMENTS FOR DETECTING INVALID ITEMS ON TEACHER‐MADE CRITERION‐REFERENCED TESTS,1983,20,"['EXAMINEE', 'JUDGMENTS', 'detect', 'INVALID', 'items', 'ON', 'TEACHER‐MADE', 'CRITERION‐REFERENCED', 'test']","['examinee', 'judgments', 'detect', 'invalid', 'items', 'on', 'teacher‐made', 'criterion‐referenced', 'test']",examinee judgments detect invalid items on teacher‐made criterion‐referenced test
HALADYNA T.M.; ROID G.H.,A COMPARISON OF TWO APPROACHES TO CRITERION‐REFERENCED TEST CONSTRUCTION,1983,20,"['comparison', 'APPROACHES', 'CRITERION‐REFERENCED', 'test', 'construction']","['comparison', 'approaches', 'criterion‐referenced', 'test', 'construction']",comparison approaches criterion‐referenced test construction
"STENNER A.J.; SMITH M., III; BURDICK D.S.",TOWARD A THEORY OF CONSTRUCT DEFINITION,1983,20,"['theory', 'construct', 'definition']","['theory', 'construct', 'definition']",theory construct definition
BUDESCU D.,EFFICIENCY OF LINEAR EQUATING AS A FUNCTION OF THE LENGTH OF THE ANCHOR TEST,1985,22,"['efficiency', 'LINEAR', 'equating', 'function', 'LENGTH', 'ANCHOR', 'test']","['efficiency', 'linear', 'equating', 'function', 'length', 'anchor', 'test']",efficiency linear equating function length anchor test
KLEIN L.W.; JARJOURA D.,THE IMPORTANCE OF CONTENT REPRESENTATION FOR COMMON‐ITEM EQUATING WITH NONRANDOM GROUPS,1985,22,"['IMPORTANCE', 'CONTENT', 'REPRESENTATION', 'COMMON‐ITEM', 'EQUATING', 'NONRANDOM', 'GROUPS']","['importance', 'content', 'representation', 'common‐item', 'equating', 'nonrandom', 'groups']",importance content representation common‐item equating nonrandom groups
GREEN B.F.; BOCK R.D.; HUMPHREYS L.G.; LINN R.L.; RECKASE M.D.,TECHNICAL GUIDELINES FOR ASSESSING COMPUTERIZED ADAPTIVE TESTS,1984,21,"['TECHNICAL', 'GUIDELINES', 'assess', 'COMPUTERIZED', 'ADAPTIVE', 'test']","['technical', 'guidelines', 'assess', 'computerized', 'adaptive', 'test']",technical guidelines assess computerized adaptive test
MESSICK S.,THE PSYCHOLOGY OF EDUCATIONAL MEASUREMENT,1984,21,"['psychology', 'EDUCATIONAL']","['psychology', 'educational']",psychology educational
WAINER H.,AN EXPLORATORY ANALYSIS OF PERFORMANCE ON THE SAT,1984,21,"['exploratory', 'analysis', 'performance', 'SAT']","['exploratory', 'analysis', 'performance', 'sat']",exploratory analysis performance sat
MILLS C.N.,A COMPARISON OF THREE METHODS OF ESTABLISHING CUT‐OFF SCORES ON CRITERION‐REFERENCED TESTS,1983,20,"['comparison', 'methods', 'establish', 'cut‐off', 'SCORES', 'ON', 'CRITERION‐REFERENCED', 'test']","['comparison', 'methods', 'establish', 'cut‐off', 'scores', 'on', 'criterion‐referenced', 'test']",comparison methods establish cut‐off scores on criterion‐referenced test
FRARY R.B.,MULTIPLE‐CHOICE VERSUS FREE‐RESPONSE: A SIMULATION STUDY,1985,22,"['multiple‐choice', 'versus', 'FREE‐RESPONSE', 'A', 'simulation', 'study']","['multiple‐choice', 'versus', 'free‐response', 'a', 'simulation', 'study']",multiple‐choice versus free‐response a simulation study
HANNA G.,THE USE OF A FACTOR‐ANALYTIC MODEL FOR ASSESSING THE VALIDITY OF GROUP COMPARISONS,1984,21,"['FACTOR‐ANALYTIC', 'assess', 'VALIDITY', 'GROUP', 'comparison']","['factor‐analytic', 'assess', 'validity', 'group', 'comparison']",factor‐analytic assess validity group comparison
DORANS N.J.; KULICK E.,DEMONSTRATING THE UTILITY OF THE STANDARDIZATION APPROACH TO ASSESSING UNEXPECTED DIFFERENTIAL ITEM PERFORMANCE ON THE SCHOLASTIC APTITUDE TEST,1986,23,"['DEMONSTRATING', 'UTILITY', 'standardization', 'approach', 'assess', 'unexpected', 'DIFFERENTIAL', 'ITEM', 'performance', 'SCHOLASTIC', 'APTITUDE', 'test']","['demonstrating', 'utility', 'standardization', 'approach', 'assess', 'unexpected', 'differential', 'item', 'performance', 'scholastic', 'aptitude', 'test']",demonstrating utility standardization approach assess unexpected differential item performance scholastic aptitude test
VEALE J.R.,ASSESSING CULTURAL BIAS USING FOIL RESPONSE DATA: CULTURAL VARIATION,1983,20,"['assess', 'CULTURAL', 'BIAS', 'FOIL', 'RESPONSE', 'DATA', 'CULTURAL', 'VARIATION']","['assess', 'cultural', 'bias', 'foil', 'response', 'data', 'cultural', 'variation']",assess cultural bias foil response data cultural variation
KANE M.T.,THE ROLE OF RELIABILITY IN CRITERION‐REFERENCED TESTS,1986,23,"['ROLE', 'RELIABILITY', 'criterion‐referenced', 'test']","['role', 'reliability', 'criterion‐referenced', 'test']",role reliability criterion‐referenced test
YEN W.M.,THE CHOICE OF SCALE FOR EDUCATIONAL MEASUREMENT: AN IRT PERSPECTIVE,1986,23,"['choice', 'scale', 'EDUCATIONAL', 'IRT', 'PERSPECTIVE']","['choice', 'scale', 'educational', 'irt', 'perspective']",choice scale educational irt perspective
KOK F.G.; MELLENBERGH G.J.; VAN DER FLIER H.,DETECTING EXPERIMENTALLY INDUCED ITEM BIAS USING THE ITERATIVE LOGIT METHOD,1985,22,"['detect', 'EXPERIMENTALLY', 'INDUCED', 'ITEM', 'BIAS', 'ITERATIVE', 'LOGIT', 'METHOD']","['detect', 'experimentally', 'induced', 'item', 'bias', 'iterative', 'logit', 'method']",detect experimentally induced item bias iterative logit method
TATSUOKA K.K.; TATSUOKA M.M.,SPOTTING ERRONEOUS RULES OF OPERATION BY THE INDIVIDUAL CONSISTENCY INDEX,1983,20,"['spot', 'erroneous', 'rule', 'operation', 'INDIVIDUAL', 'CONSISTENCY', 'INDEX']","['spot', 'erroneous', 'rule', 'operation', 'individual', 'consistency', 'index']",spot erroneous rule operation individual consistency index
SPENCER B.D.,ON INTERPRETING TEST SCORES AS SOCIAL INDICATORS: STATISTICAL CONSIDERATIONS,1983,20,"['interpreting', 'test', 'SCORES', 'SOCIAL', 'INDICATORS', 'statistical', 'consideration']","['interpreting', 'test', 'scores', 'social', 'indicators', 'statistical', 'consideration']",interpreting test scores social indicators statistical consideration
GOLDSTEIN H.,MEASURING CHANGES IN EDUCATIONAL ATTAINMENT OVER TIME: PROBLEMS AND POSSIBILITIES,1983,20,"['measure', 'change', 'EDUCATIONAL', 'ATTAINMENT', 'TIME', 'problems', 'possibility']","['measure', 'change', 'educational', 'attainment', 'time', 'problems', 'possibility']",measure change educational attainment time problems possibility
VAN DER FLIER H.; MELLENBERGH G.J.; ADÈR H.J.; WIJN M.,AN ITERATIVE ITEM BIAS DETECTION METHOD,1984,21,"['ITERATIVE', 'ITEM', 'BIAS', 'DETECTION', 'METHOD']","['iterative', 'item', 'bias', 'detection', 'method']",iterative item bias detection method
SCHURR K.T.; HENRIKSEN L.W.,EFFECTS OF ITEM SEQUENCING AND GROUPING IN LOW‐INFERENCE TYPE QUESTIONNAIRES,1983,20,"['effect', 'ITEM', 'sequencing', 'group', 'IN', 'LOW‐INFERENCE', 'TYPE', 'QUESTIONNAIRES']","['effect', 'item', 'sequencing', 'group', 'in', 'low‐inference', 'type', 'questionnaires']",effect item sequencing group in low‐inference type questionnaires
BLOK H.,"ESTIMATING THE RELIABILITY, VALIDITY, AND INVALIDITY OF ESSAY RATINGS",1985,22,"['estimate', 'RELIABILITY', 'VALIDITY', 'invalidity', 'essay', 'rating']","['estimate', 'reliability', 'validity', 'invalidity', 'essay', 'rating']",estimate reliability validity invalidity essay rating
PLAKE B.S.; ANSORGE C.J.; PARKER C.S.; LOWRY S.R.,"EFFECTS OF ITEM ARRANGEMENT, KNOWLEDGE OF ARRANGEMENT TEST ANXIETY AND SEX ON TEST PERFORMANCE",1982,19,"['effect', 'ITEM', 'arrangement', 'knowledge', 'arrangement', 'test', 'ANXIETY', 'SEX', 'ON', 'test', 'performance']","['effect', 'item', 'arrangement', 'knowledge', 'arrangement', 'test', 'anxiety', 'sex', 'on', 'test', 'performance']",effect item arrangement knowledge arrangement test anxiety sex on test performance
WRIGHT B.D.; BELL S.R.,"ITEM BANKS: WHAT, WHY, HOW",1984,21,"['ITEM', 'bank']","['item', 'bank']",item bank
NEVO B.,FACE VALIDITY REVISITED,1985,22,"['face', 'VALIDITY', 'revisit']","['face', 'validity', 'revisit']",face validity revisit
LISSITZ R.W.; WILLHOFT J.L.,A METHODOLOGICAL STUDY OF THE TORRANCE TESTS OF CREATIVITY,1985,22,"['methodological', 'study', 'torrance', 'test', 'CREATIVITY']","['methodological', 'study', 'torrance', 'test', 'creativity']",methodological study torrance test creativity
DIVGI D.R.,DOES THE RASCH MODEL REALLY WORK FOR MULTIPLE CHOICE ITEMS? NOT IF YOU LOOK CLOSELY,1986,23,"['RASCH', 'MODEL', 'REALLY', 'work', 'multiple', 'choice', 'items', 'look', 'CLOSELY']","['rasch', 'model', 'really', 'work', 'multiple', 'choice', 'items', 'look', 'closely']",rasch model really work multiple choice items look closely
YEN W.M.,OBTAINING MAXIMUM LIKELIHOOD TRAIT ESTIMATES FROM NUMBER‐CORRECT SCORES FOR THE THREE‐PARAMETER LOGISTIC MODEL,1984,21,"['obtain', 'MAXIMUM', 'likelihood', 'trait', 'estimate', 'NUMBER‐CORRECT', 'SCORES', 'three‐parameter', 'LOGISTIC']","['obtain', 'maximum', 'likelihood', 'trait', 'estimate', 'number‐correct', 'scores', 'three‐parameter', 'logistic']",obtain maximum likelihood trait estimate number‐correct scores three‐parameter logistic
LORD F.M.,STANDARD ERRORS OF MEASUREMENT AT DIFFERENT ABILITY LEVELS,1984,21,"['STANDARD', 'ERRORS', 'different', 'ABILITY', 'LEVELS']","['standard', 'errors', 'different', 'ability', 'levels']",standard errors different ability levels
POWERS D.E.; ALDERMAN D.L.,EFFECTS OF TEST FAMILIARIZATION ON SAT PERFORMANCE,1983,20,"['effect', 'test', 'FAMILIARIZATION', 'ON', 'SAT', 'performance']","['effect', 'test', 'familiarization', 'on', 'sat', 'performance']",effect test familiarization on sat performance
DE GRUIJTER D.N.M.,COMPROMISE MODELS FOR ESTABLISHING EXAMINATION STANDARDS,1985,22,"['COMPROMISE', 'MODELS', 'establish', 'EXAMINATION', 'standard']","['compromise', 'models', 'establish', 'examination', 'standard']",compromise models establish examination standard
PAGE E.B.; FEIFS H.,SAT SCORES AND AMERICAN STATES: SEEKING FOR USEFUL MEANING,1985,22,"['SAT', 'SCORES', 'AMERICAN', 'state', 'seek', 'useful', 'meaning']","['sat', 'scores', 'american', 'state', 'seek', 'useful', 'meaning']",sat scores american state seek useful meaning
FREEMAN D.J.; BELLI G.M.; PORTER A.C.; FLODEN R.E.; SCHMIDT W.H.; SCHWILLE J.R.,THE INFLUENCE OF DIFFERENT STYLES OF TEXTBOOK USE ON INSTRUCTIONAL VALIDITY OF STANDARDIZED TESTS,1983,20,"['influence', 'different', 'styles', 'TEXTBOOK', 'USE', 'ON', 'instructional', 'VALIDITY', 'standardized', 'test']","['influence', 'different', 'styles', 'textbook', 'use', 'on', 'instructional', 'validity', 'standardized', 'test']",influence different styles textbook use on instructional validity standardized test
CUMMINGS O.W.,DIFFERENTIAL MEASUREMENT OF READING COMPREHENSION SKILLS FOR STUDENTS WITH DISCREPANT SUBSKILL PROFILES,1982,19,"['differential', 'MEASUREMENT', 'reading', 'comprehension', 'skill', 'student', 'DISCREPANT', 'SUBSKILL', 'PROFILES']","['differential', 'measurement', 'reading', 'comprehension', 'skill', 'student', 'discrepant', 'subskill', 'profiles']",differential measurement reading comprehension skill student discrepant subskill profiles
MARSH H.W.; O'NEILL R.,SELF DESCRIPTION QUESTIONNAIRE III: THE CONSTRUCT VALIDITY OF MULTIDIMENSIONAL SELF‐CONCEPT RATINGS BY LATE ADOLESCENTS,1984,21,"['SELF', 'DESCRIPTION', 'QUESTIONNAIRE', 'III', 'CONSTRUCT', 'VALIDITY', 'MULTIDIMENSIONAL', 'SELF‐CONCEPT', 'RATINGS', 'late', 'adolescent']","['self', 'description', 'questionnaire', 'iii', 'construct', 'validity', 'multidimensional', 'self‐concept', 'ratings', 'late', 'adolescent']",self description questionnaire iii construct validity multidimensional self‐concept ratings late adolescent
CURTIS M.E.,READING THEORY AND THE ASSESSMENT OF READING ACHIEVEMENT,1983,20,"['read', 'theory', 'assessment', 'reading', 'achievement']","['read', 'theory', 'assessment', 'reading', 'achievement']",read theory assessment reading achievement
TALLMADGE G.K.,RUMORS REGARDING THE DEATH OF THE EQUIPERCENTILE ASSUMPTION MAY HAVE BEEN GREATLY EXAGGERATED,1985,22,"['RUMORS', 'regard', 'death', 'EQUIPERCENTILE', 'ASSUMPTION', 'GREATLY', 'EXAGGERATED']","['rumors', 'regard', 'death', 'equipercentile', 'assumption', 'greatly', 'exaggerated']",rumors regard death equipercentile assumption greatly exaggerated
BEJAR I.I.,EDUCATIONAL DIAGNOSTIC ASSESSMENT,1984,21,"['EDUCATIONAL', 'DIAGNOSTIC', 'assessment']","['educational', 'diagnostic', 'assessment']",educational diagnostic assessment
LINN R.L.,SELECTION BIAS: MULTIPLE MEANINGS,1984,21,"['SELECTION', 'BIAS', 'MULTIPLE', 'meaning']","['selection', 'bias', 'multiple', 'meaning']",selection bias multiple meaning
HAMBLETON R.K.; DE GRUIJTER D.N.M.,APPLICATION OF ITEM RESPONSE MODELS TO CRITERION‐REFERENCED TEST ITEM SELECTION,1983,20,"['application', 'ITEM', 'RESPONSE', 'MODELS', 'CRITERION‐REFERENCED', 'test', 'ITEM', 'SELECTION']","['application', 'item', 'response', 'models', 'criterion‐referenced', 'test', 'item', 'selection']",application item response models criterion‐referenced test item selection
BUDESCU D.V.; NEVO B.,OPTIMAL NUMBER OF OPTIONS: AN INVESTIGATION OF THE ASSUMPTION OF PROPORTIONALITY,1985,22,"['optimal', 'number', 'OPTIONS', 'AN', 'investigation', 'assumption', 'proportionality']","['optimal', 'number', 'options', 'an', 'investigation', 'assumption', 'proportionality']",optimal number options an investigation assumption proportionality
TAYLOR C.; WHITE K.R.,THE EFFECT OF REINFORCEMENT AND TRAINING ON GROUP STANDARDIZED TEST BEHAVIOR,1982,19,"['effect', 'reinforcement', 'training', 'ON', 'GROUP', 'standardized', 'test', 'behavior']","['effect', 'reinforcement', 'training', 'on', 'group', 'standardized', 'test', 'behavior']",effect reinforcement training on group standardized test behavior
NITKO A.J.; HSU T.‐C.,A COMPREHENSIVE MICROCOMPUTER SYSTEM FOR CLASSROOM TESTING,1984,21,"['COMPREHENSIVE', 'MICROCOMPUTER', 'SYSTEM', 'CLASSROOM', 'testing']","['comprehensive', 'microcomputer', 'system', 'classroom', 'testing']",comprehensive microcomputer system classroom testing
MASTERS G.N.,CONSTRUCTING AN ITEM BANK USING PARTIAL CREDIT SCORING,1984,21,"['construct', 'AN', 'ITEM', 'BANK', 'PARTIAL', 'CREDIT', 'scoring']","['construct', 'an', 'item', 'bank', 'partial', 'credit', 'scoring']",construct an item bank partial credit scoring
CROSS L.H.; FRARY R.B.; KELLY P.P.; SMALL R.C.; IMPARA J.C.,ESTABLISHING MINIMUM STANDARDS FOR ESSAYS: BLIND VERSUS INFORMED RÉVIEWS,1985,22,"['establish', 'MINIMUM', 'STANDARDS', 'ESSAYS', 'BLIND', 'versus', 'INFORMED', 'RÉVIEWS']","['establish', 'minimum', 'standards', 'essays', 'blind', 'versus', 'informed', 'réviews']",establish minimum standards essays blind versus informed réviews
CROSS L.H.; IMPARA J.C.; FRARY R.B.; JAEGER R.M.,A COMPARISON OF THREE METHODS FOR ESTABLISHING MINIMUM STANDARDS ON THE NATIONAL TEACHER EXAMINATIONS,1984,21,"['comparison', 'methods', 'establish', 'MINIMUM', 'STANDARDS', 'NATIONAL', 'teacher', 'examination']","['comparison', 'methods', 'establish', 'minimum', 'standards', 'national', 'teacher', 'examination']",comparison methods establish minimum standards national teacher examination
LINN R.L.,PEARSON SELECTION FORMULAS: IMPLICATIONS FOR STUDIES OF PREDICTIVE BIAS AND ESTIMATES OF EDUCATIONAL EFFECTS IN SELECTED SAMPLES,1983,20,"['pearson', 'selection', 'formulas', 'implication', 'study', 'predictive', 'bias', 'estimate', 'educational', 'effect', 'selected', 'samples']","['pearson', 'selection', 'formulas', 'implication', 'study', 'predictive', 'bias', 'estimate', 'educational', 'effect', 'selected', 'samples']",pearson selection formulas implication study predictive bias estimate educational effect selected samples
JARADAT D.; SAWAGED S.,THE SUBSET SELECTION TECHNIQUE FOR MULTIPLE‐CHOICE TESTS: AN EMPIRICAL INQUIRY,1986,23,"['SUBSET', 'selection', 'TECHNIQUE', 'multiple‐choice', 'test', 'EMPIRICAL', 'inquiry']","['subset', 'selection', 'technique', 'multiple‐choice', 'test', 'empirical', 'inquiry']",subset selection technique multiple‐choice test empirical inquiry
MARSH H.W.; HOCEVAR D.,CONFIRMATORY FACTOR ANALYSIS OF MULTITRAIT‐MULTIMETHOD MATRICES,1983,20,"['CONFIRMATORY', 'factor', 'ANALYSIS', 'MULTITRAIT‐MULTIMETHOD', 'MATRICES']","['confirmatory', 'factor', 'analysis', 'multitrait‐multimethod', 'matrices']",confirmatory factor analysis multitrait‐multimethod matrices
DORANS N.J.; KINGSTON N.M.,THE EFFECTS OF VIOLATIONS OF UNIDIMENSIONALITY ON THE ESTIMATION OF ITEM AND ABILITY PARAMETERS AND ON ITEM RESPONSE THEORY EQUATING OF THE GRE VERBAL SCALE,1985,22,"['effect', 'violation', 'UNIDIMENSIONALITY', 'ESTIMATION', 'ITEM', 'ABILITY', 'parameter', 'ON', 'ITEM', 'RESPONSE', 'THEORY', 'EQUATING', 'GRE', 'VERBAL', 'scale']","['effect', 'violation', 'unidimensionality', 'estimation', 'item', 'ability', 'parameter', 'on', 'item', 'response', 'theory', 'equating', 'gre', 'verbal', 'scale']",effect violation unidimensionality estimation item ability parameter on item response theory equating gre verbal scale
SUBKOVIAK M.J.; MACK J.S.; IRONSON G.H.; CRAIG R.D.,EMPIRICAL COMPARISON OF SELECTED ITEM BIAS DETECTION PROCEDURES WITH BIAS MANIPULATION,1984,21,"['EMPIRICAL', 'comparison', 'selected', 'ITEM', 'BIAS', 'DETECTION', 'PROCEDURES', 'BIAS', 'manipulation']","['empirical', 'comparison', 'selected', 'item', 'bias', 'detection', 'procedures', 'bias', 'manipulation']",empirical comparison selected item bias detection procedures bias manipulation
AIRASIAN P.W.; MADAUS G.F.,LINKING TESTING AND INSTRUCTION: POLICY ISSUES,1983,20,"['link', 'TESTING', 'INSTRUCTION', 'POLICY', 'ISSUES']","['link', 'testing', 'instruction', 'policy', 'issues']",link testing instruction policy issues
MILLMAN J.; ARTER J.A.,ISSUES IN ITEM BANKING,1984,21,"['ISSUES', 'ITEM', 'banking']","['issues', 'item', 'banking']",issues item banking
RUDNER L.M.,INDIVIDUAL ASSESSMENT ACCURACY,1983,20,"['INDIVIDUAL', 'ASSESSMENT', 'ACCURACY']","['individual', 'assessment', 'accuracy']",individual assessment accuracy
SCHMIDT W.H.,CONTENT BIASES IN ACHIEVEMENT TESTS,1983,20,"['CONTENT', 'bias', 'ACHIEVEMENT', 'test']","['content', 'bias', 'achievement', 'test']",content bias achievement test
LINN R.L.,TESTING AND INSTRUCTION: LINKS AND DISTINCTIONS,1983,20,"['testing', 'instruction', 'link', 'distinction']","['testing', 'instruction', 'link', 'distinction']",testing instruction link distinction
FRASER B.J.,DEVELOPMENT OF SHORT FORMS OF SEVERAL CLASSROOM ENVIRONMENT SCALES,1982,19,"['development', 'short', 'forms', 'CLASSROOM', 'ENVIRONMENT', 'scale']","['development', 'short', 'forms', 'classroom', 'environment', 'scale']",development short forms classroom environment scale
SCOTT M.; HATFIELD J.G.,LEMS OF ANALYST AND OBSERVER AGREEMENT IN NATURALISTIC NARRATIVE DATA,1985,22,"['lems', 'analyst', 'OBSERVER', 'agreement', 'NATURALISTIC', 'NARRATIVE', 'datum']","['lems', 'analyst', 'observer', 'agreement', 'naturalistic', 'narrative', 'datum']",lems analyst observer agreement naturalistic narrative datum
