Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join
MOSS J.D.; BROWN F.G.,SEX BIAS AND ACADEMIC PERFORMANCE: AN EMPIRICAL STUDY,1979,16,"['SEX', 'BIAS', 'academic', 'PERFORMANCE', 'EMPIRICAL', 'study']","['sex', 'bias', 'academic', 'performance', 'empirical', 'study']",sex bias academic performance empirical study
SUBKOVIAK M.J.; ROECKS A.L.,A CLOSER LOOK AT THE ACCURACY OF ALTERNATIVE DATA‐COLLECTION METHODS FOR MULTIDIMENSIONAL SCALING,1976,13,"['CLOSER', 'look', 'ACCURACY', 'alternative', 'data‐collection', 'METHODS', 'MULTIDIMENSIONAL', 'scaling']","['closer', 'look', 'accuracy', 'alternative', 'data‐collection', 'methods', 'multidimensional', 'scaling']",closer look accuracy alternative data‐collection methods multidimensional scaling
"SINGLETON R., JR.; SMITH E.R.",DOES GRADE INFLATION DECREASE THE RELIABILITY OF GRADES?,1978,15,"['GRADE', 'inflation', 'DECREASE', 'RELIABILITY', 'GRADES']","['grade', 'inflation', 'decrease', 'reliability', 'grades']",grade inflation decrease reliability grades
Sirotnik K.; Wellington R.,INCIDENCE SAMPLING: AN INTEGRATED THEORY FOR “MATRIX SAMPLING”,1977,14,"['incidence', 'SAMPLING', 'INTEGRATED', 'THEORY', '""', 'matrix', 'sampling', '""']","['incidence', 'sampling', 'integrated', 'theory', '""', 'matrix', 'sampling', '""']","incidence sampling integrated theory "" matrix sampling """
GUSTAFSSON J.‐E.,THE RASCH MODEL IN VERTICAL EQUATING OF TESTS: A CRITIQUE OF SLINDE AND LINN,1979,16,"['RASCH', 'MODEL', 'VERTICAL', 'equating', 'test', 'CRITIQUE', 'SLINDE', 'LINN']","['rasch', 'model', 'vertical', 'equating', 'test', 'critique', 'slinde', 'linn']",rasch model vertical equating test critique slinde linn
STAYROOK N.; CORNO L.,AN APPLICATION OF GENERALIZABILITY THEORY IN DISATTENUATING A PATH MODEL OF TEACHING AND LEARNING,1979,16,"['application', 'GENERALIZABILITY', 'THEORY', 'disattenuate', 'PATH', 'teaching', 'learning']","['application', 'generalizability', 'theory', 'disattenuate', 'path', 'teaching', 'learning']",application generalizability theory disattenuate path teaching learning
SAWYER R.; MAXEY J.,THE VALIDITY OF COLLEGE GRADE PREDICTION EQUATIONS OVER TIME,1979,16,"['VALIDITY', 'COLLEGE', 'GRADE', 'PREDICTION', 'equation', 'TIME']","['validity', 'college', 'grade', 'prediction', 'equation', 'time']",validity college grade prediction equation time
KORTH B.,RELATIONSHIP OF EXTRANEOUS VARIABLES TO STUDENT RATINGS OF INSTRUCTORS,1979,16,"['RELATIONSHIP', 'extraneous', 'VARIABLES', 'student', 'RATINGS', 'instructors']","['relationship', 'extraneous', 'variables', 'student', 'ratings', 'instructors']",relationship extraneous variables student ratings instructors
HUMPHREYS L.G.; PARSONS C.K.; PARK R.K.,DIMENSIONS INVOLVED IN DIFFERENCES AMONG SCHOOL MEANS OF COGNITIVE MEASURES,1979,16,"['dimension', 'involve', 'difference', 'school', 'mean', 'cognitive', 'MEASURES']","['dimension', 'involve', 'difference', 'school', 'mean', 'cognitive', 'measures']",dimension involve difference school mean cognitive measures
BEUCHERT A.K.; MENDOZA J.L.,A MONTE CARLO COMPARISON OF TEN ITEM DISCRIMINATION INDICES,1979,16,"['MONTE', 'CARLO', 'comparison', 'ITEM', 'discrimination', 'index']","['monte', 'carlo', 'comparison', 'item', 'discrimination', 'index']",monte carlo comparison item discrimination index
LONG J.V.; SCHAFFRAN J.A.; KELLOGG T.M.,"EFFECTS OF OUT‐OF‐LEVEL SURVEY TESTING ON READING ACHIEVEMENT SCORES OF TITLE I, ESEA STUDENTS",1977,14,"['effect', 'out‐of‐level', 'survey', 'test', 'reading', 'achievement', 'SCORES', 'TITLE', 'I', 'ESEA', 'student']","['effect', 'out‐of‐level', 'survey', 'test', 'reading', 'achievement', 'scores', 'title', 'i', 'esea', 'student']",effect out‐of‐level survey test reading achievement scores title i esea student
WILCOX R.R.; HARRIS C.W.,ON EMRICK'S “AN EVALUATION MODEL FOR MASTERY TESTING”,1977,14,"['EMRICKS', '""', 'evaluation', 'MASTERY', 'testing', '""']","['emricks', '""', 'evaluation', 'mastery', 'testing', '""']","emricks "" evaluation mastery testing """
DAVID J.L.; PELAVIN S.H.,EVALUATING COMPENSATORY EDUCATION: OVER WHAT PERIOD OF TIME SHOULD ACHIEVEMENT BE MEASURED?,1978,15,"['evaluate', 'compensatory', 'period', 'TIME', 'achievement', 'measure']","['evaluate', 'compensatory', 'period', 'time', 'achievement', 'measure']",evaluate compensatory period time achievement measure
GARVIN A.D.,"A SIMPLE, ACCURATE APPROXIMATION OF THE STANDARD ERROR OF MEASUREMENT",1976,13,"['simple', 'ACCURATE', 'approximation', 'STANDARD', 'error']","['simple', 'accurate', 'approximation', 'standard', 'error']",simple accurate approximation standard error
SMITH P.L.,THE GENERALIZABILITY OF STUDENT RATINGS OF COURSES: ASKING THE RIGHT QUESTIONS,1979,16,"['GENERALIZABILITY', 'student', 'RATINGS', 'course', 'ask', 'right', 'question']","['generalizability', 'student', 'ratings', 'course', 'ask', 'right', 'question']",generalizability student ratings course ask right question
HUCK S.W.,TEST PERFORMANCE UNDER THE CONDITION OF KNOWN ITEM DIFFICULTY,1978,15,"['test', 'performance', 'condition', 'know', 'ITEM', 'difficulty']","['test', 'performance', 'condition', 'know', 'item', 'difficulty']",test performance condition know item difficulty
BRENNAN R.L.; KANE M.T.,AN INDEX OF DEPENDABILITY FOR MASTERY TESTS,1977,14,"['INDEX', 'DEPENDABILITY', 'MASTERY', 'test']","['index', 'dependability', 'mastery', 'test']",index dependability mastery test
DE AVILA E.; PULOS S.,GROUP ASSESSMENT OF COGNITIVE LEVEL BY PICTORIAL PIAGETIAN TASKS,1979,16,"['GROUP', 'assessment', 'cognitive', 'level', 'PICTORIAL', 'PIAGETIAN', 'TASKS']","['group', 'assessment', 'cognitive', 'level', 'pictorial', 'piagetian', 'tasks']",group assessment cognitive level pictorial piagetian tasks
WRIGHT B.D.,SOLVING MEASUREMENT PROBLEMS WITH THE RASCH MODEL,1977,14,"['solve', 'problems', 'RASCH', 'MODEL']","['solve', 'problems', 'rasch', 'model']",solve problems rasch model
MARCO G.L.,USE OF THE LOGISTIC MODEL AS AN ALTERNATIVE TO LINEAR INTERPOLATION FOR COMPUTING PERCENTILE RANKS,1977,14,"['LOGISTIC', 'alternative', 'linear', 'interpolation', 'COMPUTING', 'PERCENTILE', 'rank']","['logistic', 'alternative', 'linear', 'interpolation', 'computing', 'percentile', 'rank']",logistic alternative linear interpolation computing percentile rank
YOSHIDA R.K.,OUT‐OF‐LEVEL TESTING OF SPECIAL EDUCATION STUDENTS WITH A STANDARDIZED ACHIEVEMENT BATTERY,1976,13,"['out‐of‐level', 'test', 'special', 'student', 'standardized', 'achievement', 'BATTERY']","['out‐of‐level', 'test', 'special', 'student', 'standardized', 'achievement', 'battery']",out‐of‐level test special student standardized achievement battery
LINN R.L.,"DEMANDS, CAUTIONS, AND SUGGESTIONS FOR SETTING STANDARDS",1978,15,"['demand', 'caution', 'suggestion', 'set', 'STANDARDS']","['demand', 'caution', 'suggestion', 'set', 'standards']",demand caution suggestion set standards
HALADYNA T.M.,EFFECTS OF DIFFERENT SAMPLES ON ITEM AND TEST CHARACTERISTICS OF CRITERION‐REFERENCED TESTS,1974,11,"['effect', 'different', 'samples', 'ITEM', 'TEST', 'CHARACTERISTICS', 'criterion‐referenced', 'test']","['effect', 'different', 'samples', 'item', 'test', 'characteristics', 'criterion‐referenced', 'test']",effect different samples item test characteristics criterion‐referenced test
ROEDER H.H.,TEACHER EDUCATION CURRICULA–YOUR FINAL GRADE IS F,1973,10,"['teacher', 'curricula', '–', 'final', 'GRADE', 'f']","['teacher', 'curricula', '–', 'final', 'grade', 'f']",teacher curricula – final grade f
KAGERER R.L.,TOWARD AN AFFECTIVE OUTCOME OF HIGHER EDUCATION,1974,11,"['affective', 'outcome', 'high']","['affective', 'outcome', 'high']",affective outcome high
SUBKOVIAK M.J.,ESTIMATING RELIABILITY FROM A SINGLE ADMINISTRATION OF A CRITERION‐REFERENCED TEST,1976,13,"['estimate', 'RELIABILITY', 'single', 'administration', 'criterion‐referenced', 'test']","['estimate', 'reliability', 'single', 'administration', 'criterion‐referenced', 'test']",estimate reliability single administration criterion‐referenced test
SUBKOVIAK M.J.; LEVIN J.R.,DETERMINING THE CHARACTERISTICS OF THE IDEAL PROFESSOR: AN ALTERNATIVE APPROACH,1974,11,"['determine', 'CHARACTERISTICS', 'IDEAL', 'PROFESSOR', 'alternative', 'approach']","['determine', 'characteristics', 'ideal', 'professor', 'alternative', 'approach']",determine characteristics ideal professor alternative approach
POHLMANN J.T.; BEGGS D.L.,A STUDY OF THE VALIDITY OF SELF‐REPORTED MEASURES OF ACADEMIC GROWTH,1974,11,"['study', 'VALIDITY', 'SELF‐REPORTED', 'MEASURES', 'academic', 'growth']","['study', 'validity', 'self‐reported', 'measures', 'academic', 'growth']",study validity self‐reported measures academic growth
"GREENWOOD G.E.; BRIDGES C.M., JR; WARE W.B.; MCLEAN J.E.",STUDENT EVALUATION OF COLLEGE TEACHING BEHAVIORS,1974,11,"['STUDENT', 'evaluation', 'COLLEGE', 'teach', 'BEHAVIORS']","['student', 'evaluation', 'college', 'teach', 'behaviors']",student evaluation college teach behaviors
SIMON A.J.; JOINER L.M.,A MEXICAN VERSION OF THE PEABODY PICTURE VOCABULARY TEST,1976,13,"['MEXICAN', 'version', 'PEABODY', 'PICTURE', 'VOCABULARY', 'test']","['mexican', 'version', 'peabody', 'picture', 'vocabulary', 'test']",mexican version peabody picture vocabulary test
SWAMINATHAN H.; HAMBLETON R.K.; ALGINA J.,A BAYESIAN DECISION‐THEORETIC PROCEDURE FOR USE WITH CRITERION‐REFERENCED TESTS,1975,12,"['BAYESIAN', 'decision‐theoretic', 'PROCEDURE', 'criterion‐referenced', 'test']","['bayesian', 'decision‐theoretic', 'procedure', 'criterion‐referenced', 'test']",bayesian decision‐theoretic procedure criterion‐referenced test
LaVOIE A.L.; BENTLER P.M.,A SHORT‐FORM MEASURE OF THE EXPANDED SEVEN‐DIMENSIONAL SEMANTIC SPACE,1974,11,"['short‐form', 'measure', 'EXPANDED', 'SEVEN‐DIMENSIONAL', 'SEMANTIC', 'SPACE']","['short‐form', 'measure', 'expanded', 'seven‐dimensional', 'semantic', 'space']",short‐form measure expanded seven‐dimensional semantic space
ANDERSON T.H.,CLOZE MEASURES AS INDICES OF ACHIEVEMENT COMPREHENSION WHEN LEARNING FROM EXTENDED PROSE,1974,11,"['CLOZE', 'MEASURES', 'index', 'achievement', 'comprehension', 'LEARNING', 'EXTENDED', 'PROSE']","['cloze', 'measures', 'index', 'achievement', 'comprehension', 'learning', 'extended', 'prose']",cloze measures index achievement comprehension learning extended prose
JACOBS S.S.,"BEHAVIOR ON OBJECTIVE TESTS UNDER THEORETICALLY ADEQUATE, INADEQUATE AND UNSPECIFIED SCORING RULES",1975,12,"['behavior', 'objective', 'test', 'THEORETICALLY', 'ADEQUATE', 'inadequate', 'UNSPECIFIED', 'SCORING', 'rule']","['behavior', 'objective', 'test', 'theoretically', 'adequate', 'inadequate', 'unspecified', 'scoring', 'rule']",behavior objective test theoretically adequate inadequate unspecified scoring rule
O'SULLIVAN M.; GUILFORD J.P.,SIX FACTORS OF BEHAVIORAL COGNITION: UNDERSTANDING OTHER PEOPLE,1975,12,"['factor', 'behavioral', 'cognition', 'understand', 'PEOPLE']","['factor', 'behavioral', 'cognition', 'understand', 'people']",factor behavioral cognition understand people
KANSUP W.; HAKSTIAN A.R.,A COMPARISON OF SEVERAL METHODS OF ASSESSING PARTIAL KNOWLEDGE IN MULTIPLE‐CHOICE TESTS: I. SCORING PROCEDURES,1975,12,"['comparison', 'methods', 'assess', 'partial', 'KNOWLEDGE', 'multiple‐choice', 'test', 'I', 'scoring', 'PROCEDURES']","['comparison', 'methods', 'assess', 'partial', 'knowledge', 'multiple‐choice', 'test', 'i', 'scoring', 'procedures']",comparison methods assess partial knowledge multiple‐choice test i scoring procedures
ALEAMONI L.M.; GRAHAM M.H.,"THE RELATIONSHIP BETWEEN CEQ RATINGS AND INSTRUCTOR'S RANK, CLASS SIZE, AND COURSE LEVEL",1974,11,"['RELATIONSHIP', 'CEQ', 'RATINGS', 'instructors', 'rank', 'class', 'SIZE', 'course', 'level']","['relationship', 'ceq', 'ratings', 'instructors', 'rank', 'class', 'size', 'course', 'level']",relationship ceq ratings instructors rank class size course level
CARDINET J.; TOURNEUR W.; ALLAL L.,THE SYMMETRY OF GENERALIZABILITY THEORY: APPLICATIONS TO EDUCATIONAL MEASUREMENT,1976,13,"['SYMMETRY', 'GENERALIZABILITY', 'THEORY', 'application', 'EDUCATIONAL']","['symmetry', 'generalizability', 'theory', 'application', 'educational']",symmetry generalizability theory application educational
HARRIS C.W.,NOTE ON THE VARIANCES AND COVARIANCES OF THREE ERROR TYPES,1973,10,"['note', 'variance', 'COVARIANCES', 'THREE', 'ERROR', 'TYPES']","['note', 'variance', 'covariances', 'three', 'error', 'types']",note variance covariances three error types
WILLIAMS T.H.,THE WECHSLER SCALES: PARENTS AND (MALE) CHILDREN,1975,12,"['wechsler', 'scale', 'parent', 'MALE', 'CHILDREN']","['wechsler', 'scale', 'parent', 'male', 'children']",wechsler scale parent male children
DARLINGTON R.B.,"A DEFENSE OF “RATIONAL” PERSONNEL SELECTION, AND TWO NEW METHODS",1976,13,"['defense', '""', 'RATIONAL', '""', 'PERSONNEL', 'selection', 'new', 'METHODS']","['defense', '""', 'rational', '""', 'personnel', 'selection', 'new', 'methods']","defense "" rational "" personnel selection new methods"
JENSEN A.R.,THE EFFECT OF RACE OF EXAMINER ON THE MENTAL TEST SCORES OF WHITE AND BLACK PUPILS,1974,11,"['effect', 'RACE', 'EXAMINER', 'MENTAL', 'test', 'SCORES', 'WHITE', 'BLACK', 'PUPILS']","['effect', 'race', 'examiner', 'mental', 'test', 'scores', 'white', 'black', 'pupils']",effect race examiner mental test scores white black pupils
HOEPFNER R.; DOHERTY W.J.,PRIORITIES OF TEST PUBLISHERS,1973,10,"['priority', 'test', 'publisher']","['priority', 'test', 'publisher']",priority test publisher
HANNA G.S.,INCREMENTAL RELIABILITY AND VALIDITY OF MULTIPLE‐CHOICE TESTS WITH AN ANSWER‐UNTIL‐CORRECT PROCEDURE,1975,12,"['incremental', 'RELIABILITY', 'VALIDITY', 'multiple‐choice', 'test', 'answer‐until‐correct', 'procedure']","['incremental', 'reliability', 'validity', 'multiple‐choice', 'test', 'answer‐until‐correct', 'procedure']",incremental reliability validity multiple‐choice test answer‐until‐correct procedure
GOLDMAN R.D.; RICHARDS R.,"THE SAT PREDICTION OF GRADES FOR MEXICAN‐AMERICAN VERSUS ANGLO‐AMERICAN STUDENTS AT THE UNIVERSITY OF CALIFORNIA, RIVERSIDE",1974,11,"['SAT', 'prediction', 'GRADES', 'MEXICAN‐AMERICAN', 'versus', 'anglo‐american', 'student', 'UNIVERSITY', 'CALIFORNIA', 'RIVERSIDE']","['sat', 'prediction', 'grades', 'mexican‐american', 'versus', 'anglo‐american', 'student', 'university', 'california', 'riverside']",sat prediction grades mexican‐american versus anglo‐american student university california riverside
MARCO G.L.,A COMPARISON OF SELECTED SCHOOL EFFECTIVENESS MEASURES BASED ON LONGITUDINAL DATA,1974,11,"['comparison', 'selected', 'SCHOOL', 'EFFECTIVENESS', 'MEASURES', 'based', 'ON', 'LONGITUDINAL', 'datum']","['comparison', 'selected', 'school', 'effectiveness', 'measures', 'based', 'on', 'longitudinal', 'datum']",comparison selected school effectiveness measures based on longitudinal datum
WASHINGTON W.N.; GODFREY R.R.,THE EFFECTIVENESS OF ILLUSTRATED ITEMS,1974,11,"['EFFECTIVENESS', 'illustrated', 'ITEMS']","['effectiveness', 'illustrated', 'items']",effectiveness illustrated items
BAUSELL R.B.; SCHWARTZ S.; PUROHIT A.,AN EXAMINATION OF THE CONDITIONS UNDER WHICH VARIOUS STUDENT RATING PARAMETERS REPLICATE ACROSS TIME,1975,12,"['examination', 'condition', 'student', 'rating', 'PARAMETERS', 'REPLICATE', 'TIME']","['examination', 'condition', 'student', 'rating', 'parameters', 'replicate', 'time']",examination condition student rating parameters replicate time
DIAMOND J.J.,A PRELIMINARY STUDY OF THE RELIABILITY AND VALIDITY OF A SCORING PROCEDURE BASED UPON CONFIDENCE AND PARTIAL INFORMATION,1975,12,"['preliminary', 'study', 'RELIABILITY', 'VALIDITY', 'SCORING', 'PROCEDURE', 'based', 'UPON', 'CONFIDENCE', 'PARTIAL', 'information']","['preliminary', 'study', 'reliability', 'validity', 'scoring', 'procedure', 'based', 'upon', 'confidence', 'partial', 'information']",preliminary study reliability validity scoring procedure based upon confidence partial information
RAMOS R.A.; STERN J.,ITEM BEHAVIOR ASSOCIATED WITH CHANGES IN THE NUMBER OF ALTERNATIVES IN MULTIPLE CHOICE ITEMS,1973,10,"['ITEM', 'behavior', 'associate', 'change', 'number', 'alternatives', 'multiple', 'choice', 'items']","['item', 'behavior', 'associate', 'change', 'number', 'alternatives', 'multiple', 'choice', 'items']",item behavior associate change number alternatives multiple choice items
MUELLER D.J.; SHWEDEL A.,SOME CORRELATES OF NET GAIN RESULTANT FROM ANSWER CHANGING ON OBJECTIVE ACHIEVEMENT TEST ITEMS,1975,12,"['correlate', 'NET', 'GAIN', 'RESULTANT', 'answer', 'change', 'ON', 'objective', 'achievement', 'test', 'ITEMS']","['correlate', 'net', 'gain', 'resultant', 'answer', 'change', 'on', 'objective', 'achievement', 'test', 'items']",correlate net gain resultant answer change on objective achievement test items
BECK M.D.,ACHIEVEMENT TEST RELIABILITY AS A FUNCTION OF PUPIL‐RESPONSE PROCEDURES,1974,11,"['achievement', 'test', 'RELIABILITY', 'function', 'PUPIL‐RESPONSE', 'procedures']","['achievement', 'test', 'reliability', 'function', 'pupil‐response', 'procedures']",achievement test reliability function pupil‐response procedures
TRENTHAM L.L.,THE EFFECT OF DISTRACTIONS ON SIXTH‐GRADE STUDENTS IN A TESTING SITUATION,1975,12,"['effect', 'DISTRACTIONS', 'sixth‐grade', 'student', 'testing', 'situation']","['effect', 'distractions', 'sixth‐grade', 'student', 'testing', 'situation']",effect distractions sixth‐grade student testing situation
WOODSON M.I.CHAS.E.,THE ISSUE OF ITEM AND TEST VARIANCE FOR CRITERION‐REFERENCED TESTS,1974,11,"['issue', 'ITEM', 'test', 'VARIANCE', 'CRITERION‐REFERENCED', 'test']","['issue', 'item', 'test', 'variance', 'criterion‐referenced', 'test']",issue item test variance criterion‐referenced test
BHUSHAN V.,ADAPTATION OF AN INTELLIGENCE TEST FROM ENGLISH TO FRENCH,1974,11,"['adaptation', 'intelligence', 'test', 'ENGLISH', 'FRENCH']","['adaptation', 'intelligence', 'test', 'english', 'french']",adaptation intelligence test english french
SWAMINATHAN H.; HAMBLETON R.K.; ALGINA J.,RELIABILITY OF CRITERION‐REFERENCED TESTS: A DECISION‐THEORETIC FORMULATION,1974,11,"['RELIABILITY', 'criterion‐referenced', 'test', 'decision‐theoretic', 'formulation']","['reliability', 'criterion‐referenced', 'test', 'decision‐theoretic', 'formulation']",reliability criterion‐referenced test decision‐theoretic formulation
GRIER J.B.,THE NUMBER OF ALTERNATIVES FOR OPTIMUM TEST RELIABILITY,1975,12,"['NUMBER', 'alternatives', 'optimum', 'test', 'RELIABILITY']","['number', 'alternatives', 'optimum', 'test', 'reliability']",number alternatives optimum test reliability
REILLY R.R.; JACKSON R.,EFFECTS OF EMPIRICAL OPTION WEIGHTING ON RELIABILITY AND VALIDITY OF AN ACADEMIC APTITUDE TEST,1973,10,"['effect', 'EMPIRICAL', 'option', 'weighting', 'ON', 'RELIABILITY', 'VALIDITY', 'ACADEMIC', 'APTITUDE', 'test']","['effect', 'empirical', 'option', 'weighting', 'on', 'reliability', 'validity', 'academic', 'aptitude', 'test']",effect empirical option weighting on reliability validity academic aptitude test
GOLDMAN R.D.; HEWITT B.N.,AN INVESTIGATION OF TEST BIAS FOR MEXICAN‐AMERICAN COLLEGE STUDENTS,1975,12,"['investigation', 'test', 'BIAS', 'MEXICAN‐AMERICAN', 'COLLEGE', 'student']","['investigation', 'test', 'bias', 'mexican‐american', 'college', 'student']",investigation test bias mexican‐american college student
LEVIN J.R.,DETERMINING SAMPLE SIZE FOR PLANNED AND POST HOC ANALYSIS OF VARIANCE COMPARISONS,1975,12,"['determine', 'SAMPLE', 'SIZE', 'PLANNED', 'POST', 'HOC', 'analysis', 'variance', 'comparison']","['determine', 'sample', 'size', 'planned', 'post', 'hoc', 'analysis', 'variance', 'comparison']",determine sample size planned post hoc analysis variance comparison
CREHAN K.D.; KOEHLER R.A.; SLAKTER M.J.,LONGITUDINAL STUDIES OF TEST‐WISENESS,1974,11,"['LONGITUDINAL', 'study', 'test‐wiseness']","['longitudinal', 'study', 'test‐wiseness']",longitudinal study test‐wiseness
TAMIR P.,AN INQUIRY ORIENTED LABORATORY EXAMINATION,1974,11,"['INQUIRY', 'orient', 'LABORATORY', 'examination']","['inquiry', 'orient', 'laboratory', 'examination']",inquiry orient laboratory examination
NOVICK M.R.; PETERSEN N.S.,TOWARDS EQUALIZING EDUCATIONAL AND EMPLOYMENT OPPORTUNITY,1976,13,"['EQUALIZING', 'EDUCATIONAL', 'EMPLOYMENT', 'OPPORTUNITY']","['equalizing', 'educational', 'employment', 'opportunity']",equalizing educational employment opportunity
DAVIS G.A.; SUBKOVIAK M.J.,MULTIDIMENSIONAL ANALYSIS OF A PERSONALITY‐BASED TEST OF CREATIVE POTENTIAL,1975,12,"['MULTIDIMENSIONAL', 'ANALYSIS', 'personality‐based', 'test', 'creative', 'potential']","['multidimensional', 'analysis', 'personality‐based', 'test', 'creative', 'potential']",multidimensional analysis personality‐based test creative potential
MARCO G.L.; MURPHY R.T.; QUIRK T.J.,A CLASSIFICATION OF METHODS OF USING STUDENT DATA TO ASSESS SCHOOL EFFECTIVENESS,1976,13,"['classification', 'METHODS', 'student', 'datum', 'assess', 'SCHOOL', 'effectiveness']","['classification', 'methods', 'student', 'datum', 'assess', 'school', 'effectiveness']",classification methods student datum assess school effectiveness
ROWLEY G.L.,WHICH EXAMINEES ARE MOST FAVOURED BY THE USE OF MULTIPLE CHOICE TESTS?,1974,11,"['examinees', 'favoured', 'multiple', 'choice', 'test']","['examinees', 'favoured', 'multiple', 'choice', 'test']",examinees favoured multiple choice test
BRELAND H.M.; IRONSON G.H.,DEFUNIS RECONSIDERED: A COMPARATIVE ANALYSIS OF ALTERNATIVE ADMISSIONS STRATEGIES,1976,13,"['DEFUNIS', 'RECONSIDERED', 'comparative', 'analysis', 'alternative', 'ADMISSIONS', 'strategy']","['defunis', 'reconsidered', 'comparative', 'analysis', 'alternative', 'admissions', 'strategy']",defunis reconsidered comparative analysis alternative admissions strategy
MATHEWS W.M.,NARRATIVE FORMAT TESTING REPORTS AND TRADITIONAL TESTING REPORTS: A COMPARATIVE STUDY,1973,10,"['NARRATIVE', 'FORMAT', 'TESTING', 'REPORTS', 'TRADITIONAL', 'testing', 'REPORTS', 'comparative', 'study']","['narrative', 'format', 'testing', 'reports', 'traditional', 'testing', 'reports', 'comparative', 'study']",narrative format testing reports traditional testing reports comparative study
WRIGHT R.J.; BEAN A.G.,THE INFLUENCE OF SOCIOECONOMIC STATUS ON THE PREDICTABILITY OF COLLEGE PERFORMANCE,1974,11,"['INFLUENCE', 'SOCIOECONOMIC', 'STATUS', 'PREDICTABILITY', 'COLLEGE', 'performance']","['influence', 'socioeconomic', 'status', 'predictability', 'college', 'performance']",influence socioeconomic status predictability college performance
GOLDMAN R.D.,HIDDEN OPPORTUNITIES IN THE PREDICTION OF COLLEGE GRADES FOR DIFFERENT SUBGROUPS,1973,10,"['HIDDEN', 'opportunity', 'prediction', 'COLLEGE', 'GRADES', 'different', 'subgroups']","['hidden', 'opportunity', 'prediction', 'college', 'grades', 'different', 'subgroups']",hidden opportunity prediction college grades different subgroups
LEWY A.; SHAVIT S.,TYPES OF EXAMINATIONS IN HISTORY STUDIES,1974,11,"['TYPES', 'examination', 'history', 'study']","['types', 'examination', 'history', 'study']",types examination history study
JESSELL J.C.; SULLINS W.L.,THE EFFECT OF KEYED RESPONSE SEQUENCING OF MULTIPLE CHOICE ITEMS ON PERFORMANCE AND RELIABILITY,1975,12,"['effect', 'KEYED', 'RESPONSE', 'sequencing', 'multiple', 'choice', 'items', 'ON', 'performance', 'reliability']","['effect', 'keyed', 'response', 'sequencing', 'multiple', 'choice', 'items', 'on', 'performance', 'reliability']",effect keyed response sequencing multiple choice items on performance reliability
POHLMANN J.T.; ELMORE P.B.,THE INSTRUCTIONAL IMPROVEMENT QUESTIONNAIRE,1976,13,"['INSTRUCTIONAL', 'IMPROVEMENT', 'questionnaire']","['instructional', 'improvement', 'questionnaire']",instructional improvement questionnaire
THISSEN D.M.,INFORMATION IN WRONG RESPONSES TO THE RAVEN PROGRESSIVE MATRICES,1976,13,"['information', 'wrong', 'response', 'RAVEN', 'PROGRESSIVE', 'MATRICES']","['information', 'wrong', 'response', 'raven', 'progressive', 'matrices']",information wrong response raven progressive matrices
HUYNH H.,ON THE RELIABILITY OF DECISIONS IN DOMAIN‐REFERENCED TESTING,1976,13,"['RELIABILITY', 'decision', 'domain‐referenced', 'testing']","['reliability', 'decision', 'domain‐referenced', 'testing']",reliability decision domain‐referenced testing
ORY J.C.; POGGIO J.P.,THE EMPIRICAL DEVELOPMENT OF A MEASURE OF ACHIEVEMENT MOTIVATION,1976,13,"['EMPIRICAL', 'DEVELOPMENT', 'measure', 'achievement', 'motivation']","['empirical', 'development', 'measure', 'achievement', 'motivation']",empirical development measure achievement motivation
CENTRA J.A.,THE INFLUENCE OF DIFFERENT DIRECTIONS ON STUDENT RATINGS OF INSTRUCTION,1976,13,"['influence', 'different', 'direction', 'student', 'RATINGS', 'instruction']","['influence', 'different', 'direction', 'student', 'ratings', 'instruction']",influence different direction student ratings instruction
HAKSTIAN A.R.; KANSUP W.,A COMPARISON OF SEVERAL METHODS OF ASSESSING PARTIAL KNOWLEDGE IN MULTIPLE‐CHOICE TESTS: II. TESTING PROCEDURES,1975,12,"['comparison', 'methods', 'assess', 'partial', 'KNOWLEDGE', 'multiple‐choice', 'test', 'II', 'TESTING', 'PROCEDURES']","['comparison', 'methods', 'assess', 'partial', 'knowledge', 'multiple‐choice', 'test', 'ii', 'testing', 'procedures']",comparison methods assess partial knowledge multiple‐choice test ii testing procedures
MILLMAN J.; POPHAM W.J.,THE ISSUE OF ITEM AND TEST VARIANCE FOR CRITERION‐REFERENCED TESTS: A CLARIFICATION,1974,11,"['issue', 'ITEM', 'test', 'VARIANCE', 'criterion‐referenced', 'test', 'clarification']","['issue', 'item', 'test', 'variance', 'criterion‐referenced', 'test', 'clarification']",issue item test variance criterion‐referenced test clarification
GOLDMAN R.D.; HEWITT B.N.,ADAPTATION‐LEVEL AS AN EXPLANATION FOR DIFFERENTIAL STANDARDS IN COLLEGE GRADING,1975,12,"['ADAPTATION‐LEVEL', 'EXPLANATION', 'differential', 'STANDARDS', 'COLLEGE', 'GRADING']","['adaptation‐level', 'explanation', 'differential', 'standards', 'college', 'grading']",adaptation‐level explanation differential standards college grading
CENTRA J.A.,SELF‐RATINGS OF COLLEGE TEACHERS: A COMPARISON WITH STUDENT RATINGS,1973,10,"['self‐rating', 'COLLEGE', 'teacher', 'comparison', 'student', 'rating']","['self‐rating', 'college', 'teacher', 'comparison', 'student', 'rating']",self‐rating college teacher comparison student rating
