Authors,Title,Year,Volume,Abstract,T_tokens_,T_tokens,T_tokens_join
Jones P.; Tong Y.; Liu J.; Borglum J.; Primoli V.,Score Comparability between Online Proctored and In-Person Credentialing Exams,2022,59.0,"This article studied two methods to detect mode effects in two credentialing exams. In Study 1, we used a “modal scale comparison approach,” where the same pool of items was calibrated separately, without transformation, within two TC cohorts (TC1 and TC2) and one OP cohort (OP1) matched on their pool-based scale score distributions. The calibrations from all three groups were used to score the TC2 cohort, designated the validation sample. The TC1 item parameters and TC1-based thetas and pass rates were more like the native TC2 values than the OP1-based values, indicating mode effects, but the score and pass/fail decision differences were small. In Study 2, we used a “cross-modal repeater approach” in which test takers who failed their first attempt in one modality took the test again in either the same or different modality. The two pairs of repeater groups (TC → TC: TC → OP, and OP → OP: OP → TC) were matched exactly on their first attempt scores. Results showed increased pass rate and greater score variability in all conditions involving OP, with mode effects noticeable in both the TC → OP condition and less-strongly in the OP → TC condition. Limitations of the study and implications for exam developers were discussed. © 2022 by the National Council on Measurement in Education.","['score', 'Comparability', 'Online', 'Proctored', 'InPerson', 'Credentialing', 'Exams']","['score', 'comparability', 'online', 'proctored', 'inperson', 'credentialing', 'exams']",score comparability online proctored inperson credentialing exams
Chen C.-W.; Andersson B.; Zhu J.,A Factor Mixture Model for Item Responses and Certainty of Response Indices to Identify Student Knowledge Profiles,2023,60.0,"The certainty of response index (CRI) measures respondents' confidence level when answering an item. In conjunction with the answers to the items, previous studies have used descriptive statistics and arbitrary thresholds to identify student knowledge profiles with the CRIs. Whereas this approach overlooked the measurement error of the observed item responses and indices, we address this by proposing a factor mixture model that integrates a latent class model to detect student subgroups and a measurement model to control for student ability and confidence level. Applying the model to 773 seventh graders' responses to an algebra test, where some items were related to new material that had not been taught in class, we found two subgroups: (1) students who had high confidence in answering items involving the new material; and (2) students who had low confidence in answering items involving the new material but higher general self-confidence than the first group. We regressed the posterior probability of the group membership on gender, prior achievement, and preview behavior and found preview behavior a significant factor associated with the membership. Finally, we discussed the implications of the current study for teaching practices and future research. © 2022 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['Factor', 'Mixture', 'Item', 'Responses', 'Certainty', 'Response', 'Indices', 'identify', 'Student', 'Knowledge', 'Profiles']","['factor', 'mixture', 'item', 'responses', 'certainty', 'response', 'indices', 'identify', 'student', 'knowledge', 'profiles']",factor mixture item responses certainty response indices identify student knowledge profiles
Becker B.; Weirich S.; Goldhammer F.; Debeer D.,Controlling the Speededness of Assembled Test Forms: A Generalization to the Three-Parameter Lognormal Response Time Model,2023,60.0,"When designing or modifying a test, an important challenge is controlling its speededness. To achieve this, van der Linden (2011a, 2011b) proposed using a lognormal response time model, more specifically the two-parameter lognormal model, and automated test assembly (ATA) via mixed integer linear programming. However, this approach has a severe limitation, in that the two-parameter lognormal model lacks a slope parameter. This means that the model assumes that all items are equally speed sensitive. From a conceptual perspective, this assumption seems very restrictive. Furthermore, various other empirical studies and new data analyses performed by us show that this assumption almost never holds in practice. To overcome this shortcoming, we bring together the already frequently used three-parameter lognormal model for response times, which contains a slope parameter, and the ATA approach for controlling speededness by van der Linden. Using multiple empirically based illustrations, the proposed extension is illustrated, including complete and documented R code. Both the original van der Linden approach and our newly proposed approach are available to practitioners in the freely available R package eatATA. © 2023 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['control', 'speededness', 'Assembled', 'Test', 'Forms', 'generalization', 'ThreeParameter', 'Lognormal', 'Response', 'Time']","['control', 'speededness', 'assembled', 'test', 'forms', 'generalization', 'threeparameter', 'lognormal', 'response', 'time']",control speededness assembled test forms generalization threeparameter lognormal response time
DeCarlo L.T.; Zhou X.,A Latent Class Signal Detection Model for Rater Scoring with Ordered Perceptual Distributions,2021,58.0,"In signal detection rater models for constructed response (CR) scoring, it is assumed that raters discriminate equally well between different latent classes defined by the scoring rubric. An extended model that relaxes this assumption is introduced; the model recognizes that a rater may not discriminate equally well between some of the scoring classes. The extension recognizes a different type of rater effect and is shown to offer useful tests and diagnostic plots of the equal discrimination assumption, along with ways to assess rater accuracy and various rater effects. The approach is illustrated with an application to a large-scale language test. © 2020 by the National Council on Measurement in Education","['Latent', 'Class', 'Signal', 'Detection', 'Rater', 'Scoring', 'Ordered', 'Perceptual', 'Distributions']","['latent', 'class', 'signal', 'detection', 'rater', 'scoring', 'ordered', 'perceptual', 'distributions']",latent class signal detection rater scoring ordered perceptual distributions
Hurtz G.M.; Mucino R.,Expanding the Lognormal Response Time Model Using Profile Similarity Metrics to Improve the Detection of Anomalous Testing Behavior,2024,,"The Lognormal Response Time (LNRT) model measures the speed of test-takers relative to the normative time demands of items on a test. The resulting speed parameters and model residuals are often analyzed for evidence of anomalous test-taking behavior associated with fast and poorly fitting response time patterns. Extending this model, we demonstrate the connection between the existing LNRT model parameters and the “level” component of profile similarity, and we define two new parameters for the LNRT model representing profile “dispersion” and “shape.” We show that while the LNRT model measures level (speed), profile dispersion and shape are conflated in model residuals, and that distinguishing them provides meaningful and useful parameters for identifying anomalous testing behavior. Results from data in a situation where many test-takers gained preknowledge of test items revealed that profile shape, not currently measured in the LNRT model, was the most sensitive response time index to the abnormal test-taking behavior patterns. Results strongly support expanding the LNRT model to measure not only each test-taker's level of speed, but also the dispersion and shape of their response time profiles. © 2024 by the National Council on Measurement in Education.","['expand', 'Lognormal', 'Response', 'Time', 'Using', 'Profile', 'Similarity', 'Metrics', 'improve', 'Detection', 'Anomalous', 'Testing', 'Behavior']","['expand', 'lognormal', 'response', 'time', 'using', 'profile', 'similarity', 'metrics', 'improve', 'detection', 'anomalous', 'testing', 'behavior']",expand lognormal response time using profile similarity metrics improve detection anomalous testing behavior
Pan Y.; Wollack J.A.,An Unsupervised-Learning-Based Approach to Compromised Items Detection,2021,58.0,"As technologies have been improved, item preknowledge has become a common concern in the test security area. The present study proposes an unsupervised-learning-based approach to detect compromised items. The unsupervised-learning-based compromised item detection approach contains three steps: (1) classify responses of each examinee as either normal or aberrant based on both the item response and the response time; (2) use a recursive algorithm to cluster examinees into groups based on their response similarity; (3) identify the group with strongest preknowledge signal and report questionable items as compromised. Results show that under the conditions studied, provided the amount of preknowledge is not overwhelming and aberrance effect is at least moderate, the approach controls the false-negative rate at a relatively low level and the false-positive rate at an extremely low level. © 2021 by the National Council on Measurement in Education","['unsupervisedlearningbased', 'approach', 'Compromised', 'Items', 'Detection']","['unsupervisedlearningbased', 'approach', 'compromised', 'items', 'detection']",unsupervisedlearningbased approach compromised items detection
Mutak A.; Krause R.; Ulitzsch E.; Much S.; Ranger J.; Pohl S.,Modeling the Intraindividual Relation of Ability and Speed within a Test,2024,,"Understanding the intraindividual relation between an individual's speed and ability in testing scenarios is essential to assure a fair assessment. Different approaches exist for estimating this relationship, that either rely on specific study designs or on specific assumptions. This paper aims to add to the toolbox of approaches for estimating this relationship. We propose the intraindividual speed-ability-relation (ISAR) model, which relies on nonstationarity of speed and ability over the course of the test. The ISAR model explicitly models intraindividual change in ability and speed within a test and assesses the intraindividual relation of speed and ability by evaluating the relationship of both latent change variables. Model estimation is good, when there are interindividual differences in speed and ability changes in the data. In empirical data from PISA, we found that the intraindividual relationship between speed and ability is not universally negative for all individuals and varies across different competence domains and countries. We discuss possible explanations for this relationship. © 2024 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['Intraindividual', 'Relation', 'ability', 'speed', 'test']","['intraindividual', 'relation', 'ability', 'speed', 'test']",intraindividual relation ability speed test
Gorney K.; Wollack J.A.,Generating Models for Item Preknowledge,2022,59.0,"Detection methods for item preknowledge are often evaluated in simulation studies where models are used to generate the data. To ensure the reliability of such methods, it is crucial that these models are able to accurately represent situations that are encountered in practice. The purpose of this article is to provide a critical analysis of common models that have been used to simulate preknowledge. Both response accuracy (RA) and response time (RT) models are considered. The justifications and supporting evidence for each model are evaluated using three real data sets, and the impact of generating model on detection power is examined in two simulation studies. © 2022 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['Generating', 'Models', 'Item', 'Preknowledge']","['generating', 'models', 'item', 'preknowledge']",generating models item preknowledge
Hassan M.U.; Miller F.,Optimal Calibration of Items for Multidimensional Achievement Tests,2024,61.0,"Multidimensional achievement tests are recently gaining more importance in educational and psychological measurements. For example, multidimensional diagnostic tests can help students to determine which particular domain of knowledge they need to improve for better performance. To estimate the characteristics of candidate items (calibration) for future multidimensional achievement tests, we use optimal design theory. We generalize a previously developed exchange algorithm for optimal design computation to the multidimensional setting. We also develop an asymptotic theorem saying which item should be calibrated by examinees with extreme abilities. For several examples, we compute the optimal design numerically with the exchange algorithm. We see clear structures in these results and explain them using the asymptotic theorem. Moreover, we investigate the performance of the optimal design in a simulation study. © 2024 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['optimal', 'calibration', 'Items', 'Multidimensional', 'Achievement', 'test']","['optimal', 'calibration', 'items', 'multidimensional', 'achievement', 'test']",optimal calibration items multidimensional achievement test
Yavuz Temel G.,Detecting Multidimensional DIF in Polytomous Items with IRT Methods and Estimation Approaches,2024,61.0,"The purpose of this study was to investigate multidimensional DIF with a simple and nonsimple structure in the context of multidimensional Graded Response Model (MGRM). This study examined and compared the performance of the IRT-LR and Wald test using MML-EM and MHRM estimation approaches with different test factors and test structures in simulation studies and applying real data sets. When the test structure included two dimensions, the IRT-LR (MML-EM) generally performed better than the Wald test and provided higher power rates. If the test included three dimensions, the methods provided similar performance in DIF detection. In contrast to these results, when the number of dimensions in the test was four, MML-EM estimation completely lost precision in estimating the nonuniform DIF, even with large sample sizes. The Wald with MHRM estimation approaches outperformed the Wald test (MML-EM) and IRT-LR (MML-EM). The Wald test had higher power rate and acceptable type I error rates for nonuniform DIF with the MHRM estimation approach.The small and/or unbalanced sample sizes, small DIF magnitudes, unequal ability distributions between groups, number of dimensions, estimation methods and test structure were evaluated as important test factors for detecting multidimensional DIF. © 2023 by the National Council on Measurement in Education.","['detect', 'Multidimensional', 'DIF', 'Polytomous', 'Items', 'IRT', 'Methods', 'Estimation', 'Approaches']","['detect', 'multidimensional', 'dif', 'polytomous', 'items', 'irt', 'methods', 'estimation', 'approaches']",detect multidimensional dif polytomous items irt methods estimation approaches
Liu J.; Meng X.; Xu G.; Gao W.; Shi N.,MSAEM Estimation for Confirmatory Multidimensional Four-Parameter Normal Ogive Models,2024,61.0,"In this paper, we develop a mixed stochastic approximation expectation-maximization (MSAEM) algorithm coupled with a Gibbs sampler to compute the marginalized maximum a posteriori estimate (MMAPE) of a confirmatory multidimensional four-parameter normal ogive (M4PNO) model. The proposed MSAEM algorithm not only has the computational advantages of the stochastic approximation expectation-maximization (SAEM) algorithm for multidimensional data, but it also alleviates the potential instability caused by label-switching, and then improved the estimation accuracy. Simulation studies are conducted to illustrate the good performance of the proposed MSAEM method, where MSAEM consistently performs better than SAEM and some other existing methods in multidimensional item response theory. Moreover, the proposed method is applied to a real data set from the 2018 Programme for International Student Assessment (PISA) to demonstrate the usefulness of the 4PNO model as well as MSAEM in practice. © 2023 by the National Council on Measurement in Education.","['MSAEM', 'Estimation', 'Confirmatory', 'Multidimensional', 'FourParameter', 'Normal', 'Ogive', 'Models']","['msaem', 'estimation', 'confirmatory', 'multidimensional', 'fourparameter', 'normal', 'ogive', 'models']",msaem estimation confirmatory multidimensional fourparameter normal ogive models
Dorsey D.W.; Michaels H.R.,Validity Arguments Meet Artificial Intelligence in Innovative Educational Assessment: A Discussion and Look Forward,2022,59.0,"In this concluding article of the special issue, we provide an overall discussion and point to future emerging trends in AI that might shape our approach to validity and building validity arguments. © 2022 by the National Council on Measurement in Education.","['Validity', 'Arguments', 'Meet', 'Artificial', 'Intelligence', 'Innovative', 'Educational', 'Assessment', 'A', 'discussion', 'look', 'Forward']","['validity', 'arguments', 'meet', 'artificial', 'intelligence', 'innovative', 'educational', 'assessment', 'a', 'discussion', 'look', 'forward']",validity arguments meet artificial intelligence innovative educational assessment a discussion look forward
Kim R.Y.; Yoo Y.J.,Cognitive Diagnostic Multistage Testing by Partitioning Hierarchically Structured Attributes,2023,60.0,"In cognitive diagnostic models (CDMs), a set of fine-grained attributes is required to characterize complex problem solving and provide detailed diagnostic information about an examinee. However, it is challenging to ensure reliable estimation and control computational complexity when The test aims to identify the examinee's attribute profile in a large-scale map of attributes. To address this problem, this study proposes a cognitive diagnostic multistage testing by partitioning hierarchically structured attributes (CD-MST-PH) as a multistage testing for CDM. In CD-MST-PH, multiple testlets can be constructed based on separate attribute groups before testing occurs, which retains the advantages of multistage testing over fully adaptive testing or the on-the-fly approach. Moreover, testlets are offered sequentially and adaptively, thus improving test accuracy and efficiency. An item information measure is proposed to compute the discrimination power of an item for each attribute, and a module assembly method is presented to construct modules anchored at each separate attribute group. Several module selection indices for CD-MST-PH are also proposed by modifying the item selection indices used in cognitive diagnostic computerized adaptive testing. The results of simulation study show that CD-MST-PH can improve test accuracy and efficiency relative to the conventional test without adaptive stages. © 2022 by the National Council on Measurement in Education.","['cognitive', 'Diagnostic', 'Multistage', 'Testing', 'partition', 'hierarchically', 'Structured', 'Attributes']","['cognitive', 'diagnostic', 'multistage', 'testing', 'partition', 'hierarchically', 'structured', 'attributes']",cognitive diagnostic multistage testing partition hierarchically structured attributes
Bengs D.; Kroehne U.; Brefeld U.,Simultaneous Constrained Adaptive Item Selection for Group-Based Testing,2021,58.0,"By tailoring test forms to the test-taker's proficiency, Computerized Adaptive Testing (CAT) enables substantial increases in testing efficiency over fixed forms testing. When used for formative assessment, the alignment of task difficulty with proficiency increases the chance that teachers can derive useful feedback from assessment data. The application of CAT to formative assessment in the classroom, however, is hindered by the large number of different items used for the whole class; the required familiarization with a large number of test items puts a significant burden on teachers. An improved CAT procedure for group-based testing is presented, which uses simultaneous automated test assembly to impose a limit on the number of items used per group. The proposed linear model for simultaneous adaptive item selection allows for full adaptivity and the accommodation of constraints on test content. The effectiveness of the group-based CAT is demonstrated with real-world items in a simulated adaptive test of 3,000 groups of test-takers, under different assumptions on group composition. Results show that the group-based CAT maintained the efficiency of CAT, while a reduction in the number of used items by one half to two-thirds was achieved, depending on the within-group variance of proficiencies. © 2020 by the National Council on Measurement in Education","['simultaneous', 'Constrained', 'Adaptive', 'Item', 'Selection', 'GroupBased', 'Testing']","['simultaneous', 'constrained', 'adaptive', 'item', 'selection', 'groupbased', 'testing']",simultaneous constrained adaptive item selection groupbased testing
Cho S.-J.; Goodwin A.; Naveiras M.; Salas J.,Differential and Functional Response Time Item Analysis: An Application to Understanding Paper versus Digital Reading Processes,2024,61.0,"Despite the growing interest in incorporating response time data into item response models, there has been a lack of research investigating how the effect of speed on the probability of a correct response varies across different groups (e.g., experimental conditions) for various items (i.e., differential response time item analysis). Furthermore, previous research has shown a complex relationship between response time and accuracy, necessitating a functional analysis to understand the patterns that manifest from this relationship. In this study, response time data are incorporated into an item response model for two purposes: (a) to examine how individuals' speed within an experimental condition affects their response accuracy on an item, and (b) to detect the differences in individuals' speed between conditions in the presence of within-condition effects. For these two purposes, by-variable smooth functions are employed to model differential and functional response time effects by experimental condition for each item. This model is illustrated using an empirical data set to describe the effect of individuals' speed on their reading comprehension ability in two experimental conditions of reading medium (paper vs. digital) by item. A simulation study showed that the recovery of parameters and by-variable smooth functions of response time was satisfactory, and that the type I error rate and power of the test for the by-variable smooth function of response time were acceptable in conditions similar to the empirical data set. In addition, the proposed method correctly identified the range of response time where between-condition differences in the effect of response time on the probability of a correct response were accurate. © 2024 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['differential', 'Functional', 'Response', 'Time', 'Item', 'Analysis', 'application', 'Understanding', 'Paper', 'versus', 'Digital', 'Reading', 'Processes']","['differential', 'functional', 'response', 'time', 'item', 'analysis', 'application', 'understanding', 'paper', 'versus', 'digital', 'reading', 'processes']",differential functional response time item analysis application understanding paper versus digital reading processes
Kasli M.; Zopluoglu C.; Toton S.L.,A Deterministic Gated Lognormal Response Time Model to Identify Examinees with Item Preknowledge,2023,60.0,"Response times (RTs) have recently attracted a significant amount of attention in the literature as they may provide meaningful information about item preknowledge. In this study, a new model, the Deterministic Gated Lognormal Response Time (DG-LNRT) model, is proposed to identify examinees with item preknowledge using RTs. The proposed model was applied to two different data sets and performance was assessed with false-positive rates, true-positive rates, and precision. The results were compared with another recently proposed Z-statistic. Follow-up simulation studies were also conducted to examine model performance in settings similar to the real data sets. The results indicate that the proposed model is viable and can help detect item preknowledge under certain conditions. However, its performance is highly dependent on the correct specification of the compromised items. © 2022 by the National Council on Measurement in Education.","['Deterministic', 'Gated', 'Lognormal', 'Response', 'Time', 'identify', 'examinee', 'Item', 'Preknowledge']","['deterministic', 'gated', 'lognormal', 'response', 'time', 'identify', 'examinee', 'item', 'preknowledge']",deterministic gated lognormal response time identify examinee item preknowledge
Wolkowitz A.A.,A Computationally Simple Method for Estimating Decision Consistency,2021,58.0,"Decision consistency (DC) is the reliability of a classification decision based on a test score. In professional credentialing, the decision is often a high-stakes pass/fail decision. The current methods for estimating DC are computationally complex. The purpose of this research is to provide a computationally and conceptually simple method for estimating DC that produces results comparable to, and at times potentially better than, the widely used Livingston-Lewis method. © 2021 by the National Council on Measurement in Education","['computationally', 'simple', 'Method', 'estimate', 'decision', 'consistency']","['computationally', 'simple', 'method', 'estimate', 'decision', 'consistency']",computationally simple method estimate decision consistency
Huggins-Manley A.C.; Booth B.M.; D'Mello S.K.,Toward Argument-Based Fairness with an Application to AI-Enhanced Educational Assessments,2022,59.0,"The field of educational measurement places validity and fairness as central concepts of assessment quality. Prior research has proposed embedding fairness arguments within argument-based validity processes, particularly when fairness is conceived as comparability in assessment properties across groups. However, we argue that a more flexible approach to fairness arguments that occurs outside of and complementary to validity arguments is required to address many of the views on fairness that a set of assessment stakeholders may hold. Accordingly, we focus this manuscript on two contributions: (a) introducing the argument-based fairness approach to complement argument-based validity for both traditional and artificial intelligence (AI)-enhanced assessments and (b) applying it in an illustrative AI assessment of perceived hireability in automated video interviews used to prescreen job candidates. We conclude with recommendations for further advancing argument-based fairness approaches. © 2022 by the National Council on Measurement in Education.","['ArgumentBased', 'Fairness', 'application', 'AIEnhanced', 'Educational', 'assessment']","['argumentbased', 'fairness', 'application', 'aienhanced', 'educational', 'assessment']",argumentbased fairness application aienhanced educational assessment
Briggs D.C.,NCME Presidential Address 2022: Turning the Page to the Next Chapter of Educational Measurement,2022,59.0,"Objective
Given theoretical and methodological advances that propose hypothesis about change in one or multiple processes, analytical methods for longitudinal data have been developed that provide researchers with various options for analyzing change over time. In this paper, we revisit several latent growth curve models that may be considered to answer questions about repeated measures of continuous variables, which may be operationalised as time varying covariates or outcomes.

Study design and setting
To illustrate each of the models discussed and how to interpret parameter estimates, we present examples of each method discussed using cognitive and blood pressure measures from a longitudinal study of ageing, the OCTO Twin Study.

Result and Conclusion
Although statistical models are helpful tools to test theoretical hypotheses about the dynamics between multiple processes, the choice of model and its specification will influence results and conclusions made.

Keywords: latent growth model, time varying covariates, bivariate latent growth model, longitudinal models","['NCME', 'Presidential', 'Address', '2022', 'turn', 'Page', 'chapter', 'Educational']","['ncme', 'presidential', 'address', '2022', 'turn', 'page', 'chapter', 'educational']",ncme presidential address 2022 turn page chapter educational
Puhan G.; Kim S.,Score Comparability Issues with At-Home Testing and How to Address Them,2022,59.0,"As a result of the COVID-19 pandemic, at-home testing has become a popular delivery mode in many testing programs. When programs offer at-home testing to expand their service, the score comparability between test takers testing remotely and those testing in a test center is critical. This article summarizes statistical procedures that could be used to evaluate potential mode effects at both the item level and the total score levels. Using operational data from a licensure test, we also compared linking relationships between the test center and at-home testing groups to determine the reporting score conversion from a subpopulation invariance perspective. © 2022 by the National Council on Measurement in Education.","['Score', 'Comparability', 'Issues', 'AtHome', 'Testing', 'address']","['score', 'comparability', 'issues', 'athome', 'testing', 'address']",score comparability issues athome testing address
van Laar S.; Braeken J.,Random Responders in the TIMSS 2015 Student Questionnaire: A Threat to Validity?,2022,59.0,"The low-stakes character of international large-scale educational assessments implies that a participating student might at times provide unrelated answers as if s/he was not even reading the items and choosing a response option randomly throughout. Depending on the severity of this invalid response behavior, interpretations of the assessment results are at risk of being invalidated. Not much is known about the prevalence nor impact of such random responders in the context of international large-scale educational assessments. Following a mixture item response theory (IRT) approach, an initial investigation of both issues is conducted for the Confidence in and Value of Mathematics/Science (VoM/VoS) scales in the Trends in International Mathematics and Science Study (TIMSS) 2015 student questionnaire. We end with a call to facilitate further mapping of invalid response behavior in this context by the inclusion of instructed response items and survey completion speed indicators in the assessments and a habit of sensitivity checks in all secondary data studies. © 2022 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['Random', 'Responders', 'TIMSS', '2015', 'Student', 'Questionnaire', 'threat', 'validity']","['random', 'responders', 'timss', '2015', 'student', 'questionnaire', 'threat', 'validity']",random responders timss 2015 student questionnaire threat validity
Han S.; Kang H.-A.,Online Monitoring of Test-Taking Behavior Based on Item Responses and Response Times,2023,60.0,"The study presents multivariate sequential monitoring procedures for examining test-taking behaviors online. The procedures monitor examinee's responses and response times and signal aberrancy as soon as significant change is identifieddetected in the test-taking behavior. The study in particular proposes three schemes to track different indicators of a test-taking mode—the observable manifest variables, latent trait variables, and measurement likelihood. For each procedure, sequential sampling strategies are presented to implement online monitoring. Numerical experimentation based on simulated data suggests that the proposed procedures demonstrate adequate performance. The procedures identified examinees with aberrant behaviors with high detection power and timeliness, while maintaining error rates reasonably small. Experimental application to real data also suggested that the procedures have practical relevance to real assessments. Based on the observations from the experiential analysis, the study discusses implications and guidelines for practical use. © 2023 by the National Council on Measurement in Education.","['Online', 'Monitoring', 'TestTaking', 'Behavior', 'base', 'Item', 'Responses', 'Response', 'Times']","['online', 'monitoring', 'testtaking', 'behavior', 'base', 'item', 'responses', 'response', 'times']",online monitoring testtaking behavior base item responses response times
Bulut O.; Gorgun G.; Karamese H.,Incorporating Test-Taking Engagement into Multistage Adaptive Testing Design for Large-Scale Assessments,2023,,"The use of multistage adaptive testing (MST) has gradually increased in large-scale testing programs as MST achieves a balanced compromise between linear test design and item-level adaptive testing. MST works on the premise that each examinee gives their best effort when attempting the items, and their responses truly reflect what they know or can do. However, research shows that large-scale assessments may suffer from a lack of test-taking engagement, especially if they are low stakes. Examinees with low test-taking engagement are likely to show noneffortful responding (e.g., answering the items very rapidly without reading the item stem or response options). To alleviate the impact of noneffortful responses on the measurement accuracy of MST, test-taking engagement can be operationalized as a latent trait based on response times and incorporated into the on-the-fly module assembly procedure. To demonstrate the proposed approach, a Monte-Carlo simulation study was conducted based on item parameters from an international large-scale assessment. The results indicated that the on-the-fly module assembly considering both ability and test-taking engagement could minimize the impact of noneffortful responses, yielding more accurate ability estimates and classifications. Implications for practice and directions for future research were discussed. © 2023 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['incorporate', 'TestTaking', 'Engagement', 'Multistage', 'Adaptive', 'Testing', 'Design', 'LargeScale', 'assessment']","['incorporate', 'testtaking', 'engagement', 'multistage', 'adaptive', 'testing', 'design', 'largescale', 'assessment']",incorporate testtaking engagement multistage adaptive testing design largescale assessment
Moses T.,Linking and Comparability across Conditions of Measurement: Established Frameworks and Proposed Updates,2022,59.0,"One result of recent changes in testing is that previously established linking frameworks may not adequately address challenges in current linking situations. Test linking through equating, concordance, vertical scaling or battery scaling may not represent linkings for the scores of tests developed to measure constructs differently for different examinees, or tests that are administered in different modes and data collection designs. This article considers how previously proposed linking frameworks might be updated to address more recent testing situations. The first section summarizes the definitions and frameworks described in previous test linking discussions. Additional sections consider some sources of more disparate approaches to test development and administrations, as well as the implications of these for test linking. Possibilities for reflecting these features in an expanded test linking framework are proposed that encourage limited comparability, such as comparability that is restricted to subgroups or to the conditions of a linking study when a linking is produced, or within, but not across tests or test forms when an empirical linking based on examinee data is not produced. The implications of an updated framework of previously established linking approaches are further described in a final discussion. © 2022 by the National Council on Measurement in Education.","['linking', 'Comparability', 'Conditions', 'Established', 'Frameworks', 'Proposed', 'update']","['linking', 'comparability', 'conditions', 'established', 'frameworks', 'proposed', 'update']",linking comparability conditions established frameworks proposed update
Karatoprak Ersen R.; Lee W.-C.,Pretest Item Calibration in Computerized Multistage Adaptive Testing,2023,60.0,"The purpose of this study was to compare calibration and linking methods for placing pretest item parameter estimates on the item pool scale in a 1-3 computerized multistage adaptive testing design in terms of item parameter recovery. Two models were used: embedded-section, in which pretest items were administered within a separate module, and embedded-items, in which pretest items were distributed across operational modules. The calibration methods were separate calibration with linking (SC) and fixed calibration (FC) with three parallel approaches under each (FC-1 and SC-1; FC-2 and SC-2; and FC-3 and SC-3). The FC-1 and SC-1 used only operational items in the routing module to link pretest items. The FC-2 and SC-2 also used only operational items in the routing module for linking, but in addition, the operational items in second stage modules were freely estimated. The FC-3 and SC-3 used operational items in all modules to link pretest items. The third calibration approach (i.e., FC-3 and SC-3) yielded the best results. For all three approaches, SC outperformed FC in all study conditions which were module length, sample size and examinee distributions. © 2023 National Council on Measurement in Education.","['Pretest', 'Item', 'Calibration', 'Computerized', 'Multistage', 'Adaptive', 'Testing']","['pretest', 'item', 'calibration', 'computerized', 'multistage', 'adaptive', 'testing']",pretest item calibration computerized multistage adaptive testing
Joo S.-H.; Lee P.,Detecting Differential Item Functioning Using Posterior Predictive Model Checking: A Comparison of Discrepancy Statistics,2022,59.0,"This study proposes a new Bayesian differential item functioning (DIF) detection method using posterior predictive model checking (PPMC). Item fit measures including infit, outfit, observed score distribution (OSD), and Q1 were considered as discrepancy statistics for the PPMC DIF methods. The performance of the PPMC DIF method was evaluated via a Monte Carlo simulation manipulating sample size, DIF size, DIF type, DIF percentage, and subpopulation trait distribution. Parametric DIF methods, such as Lord's chi-square and Raju's area approaches, were also included in the simulation design in order to compare the performance of the proposed PPMC DIF methods to those previously existing. Based on Type I error and power analysis, we found that PPMC DIF methods showed better-controlled Type I error rates than the existing methods and comparable power to detect uniform DIF. The implications and recommendations for applied researchers are discussed. © 2022 by the National Council on Measurement in Education.","['detect', 'Differential', 'Item', 'Functioning', 'Posterior', 'Predictive', 'Checking', 'Comparison', 'Discrepancy', 'Statistics']","['detect', 'differential', 'item', 'functioning', 'posterior', 'predictive', 'checking', 'comparison', 'discrepancy', 'statistics']",detect differential item functioning posterior predictive checking comparison discrepancy statistics
Thompson W.J.; Nash B.; Clark A.K.; Hoover J.C.,Using Simulated Retests to Estimate the Reliability of Diagnostic Assessment Systems,2023,60.0,"As diagnostic classification models become more widely used in large-scale operational assessments, we must give consideration to the methods for estimating and reporting reliability. Researchers must explore alternatives to traditional reliability methods that are consistent with the design, scoring, and reporting levels of diagnostic assessment systems. In this article, we describe and evaluate a method for simulating retests to summarize reliability evidence at multiple reporting levels. We evaluate how the performance of reliability estimates from simulated retests compares to other measures of classification consistency and accuracy for diagnostic assessments that have previously been described in the literature, but which limit the level at which reliability can be reported. Overall, the findings show that reliability estimates from simulated retests are an accurate measure of reliability and are consistent with other measures of reliability for diagnostic assessments. We then apply this method to real data from the Examination for the Certificate of Proficiency in English to demonstrate the method in practice and compare reliability estimates from observed data. Finally, we discuss implications for the field and possible next directions. © 2023 by the National Council on Measurement in Education.","['simulated', 'retest', 'estimate', 'Reliability', 'Diagnostic', 'Assessment', 'Systems']","['simulated', 'retest', 'estimate', 'reliability', 'diagnostic', 'assessment', 'systems']",simulated retest estimate reliability diagnostic assessment systems
